event ID: 10083	Primary scintillation events:4850	Primary Cerenkov events: 214	Secondary Scintillation events: 3738	Secondary Cerenkov Events: 1
event ID: 22631	Primary scintillation events:1546	Primary Cerenkov events: 66	Secondary Scintillation events: 6665	Secondary Cerenkov Events: 27
event ID: 27467	Primary scintillation events:1686	Primary Cerenkov events: 80	Secondary Scintillation events: 10104	Secondary Cerenkov Events: 51
event ID: 38087	Primary scintillation events:2623	Primary Cerenkov events: 113	Secondary Scintillation events: 14944	Secondary Cerenkov Events: 101
event ID: 48147	Primary scintillation events:6116	Primary Cerenkov events: 271	Secondary Scintillation events: 22788	Secondary Cerenkov Events: 147
event ID: 57509	Primary scintillation events:2717	Primary Cerenkov events: 139	Secondary Scintillation events: 28693	Secondary Cerenkov Events: 189
event ID: 59525	Primary scintillation events:3082	Primary Cerenkov events: 170	Secondary Scintillation events: 31882	Secondary Cerenkov Events: 197
event ID: 62131	Primary scintillation events:226	Primary Cerenkov events: 13	Secondary Scintillation events: 31981	Secondary Cerenkov Events: 197
event ID: 66605	Primary scintillation events:104	Primary Cerenkov events: 6	Secondary Scintillation events: 32014	Secondary Cerenkov Events: 197
event ID: 80840	Primary scintillation events:447	Primary Cerenkov events: 28	Secondary Scintillation events: 32215	Secondary Cerenkov Events: 197
event ID: 90489	Primary scintillation events:3691	Primary Cerenkov events: 168	Secondary Scintillation events: 34450	Secondary Cerenkov Events: 197
event ID: 93896	Primary scintillation events:2977	Primary Cerenkov events: 134	Secondary Scintillation events: 36995	Secondary Cerenkov Events: 197
event ID: 94164	Primary scintillation events:4256	Primary Cerenkov events: 194	Secondary Scintillation events: 41966	Secondary Cerenkov Events: 200
event ID: 154500	Primary scintillation events:1159	Primary Cerenkov events: 55	Secondary Scintillation events: 42673	Secondary Cerenkov Events: 200
event ID: 171309	Primary scintillation events:3503	Primary Cerenkov events: 159	Secondary Scintillation events: 45311	Secondary Cerenkov Events: 200
event ID: 190334	Primary scintillation events:1201	Primary Cerenkov events: 67	Secondary Scintillation events: 46790	Secondary Cerenkov Events: 200
event ID: 265115	Primary scintillation events:975	Primary Cerenkov events: 40	Secondary Scintillation events: 47280	Secondary Cerenkov Events: 200
