# mesh name: boxMesh_2
# primitive scorer name: flux
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,6143.839823328361,822185.3307428001,66
0,0,1,5435.002599246192,523334.7387373638,62
0,0,2,5054.728316313966,595368.4860177195,54
0,0,3,6619.979769151695,700628.6384272334,75
0,0,4,9729.813549751685,7653027.035495023,83
0,1,0,6513.790573620632,1124351.36422734,66
0,1,1,5435.002599246852,523334.738737484,62
0,1,2,5054.742450618953,595370.7782999414,54
0,1,3,6620.485070089856,700729.9903177987,75
0,1,4,9857.539699985582,7663670.148079206,84
0,2,0,6848.257313666217,1804945.651480486,65
0,2,1,5435.00259924666,523334.7387374404,62
0,2,2,5054.722845541894,595364.4411891993,54
0,2,3,6620.442046799169,700723.3610375923,75
0,2,4,9991.619292153748,7701188.470862312,84
1,0,0,5550.010351291406,575856.491850158,62
1,0,1,6519.551151732183,828073.172795877,70
1,0,2,6775.249344984557,703664.0525804298,75
1,0,3,5862.930951355812,619883.982475423,66
1,0,4,6653.377559419891,888432.4222189339,65
1,1,0,5607.355588710089,588619.0490719873,62
1,1,1,6521.43935338048,829156.5561825999,70
1,1,2,6775.28364635868,703669.3312717115,75
1,1,3,5862.894160059316,619877.9560954112,66
1,1,4,6663.52691854626,891936.5807164367,65
1,2,0,5703.8538300617,613295.0167023108,62
1,2,1,6661.025920335207,928041.3910889449,70
1,2,2,6932.616308000611,783693.880496876,75
1,2,3,5862.875093361068,619874.8861828239,66
1,2,4,6578.548199060219,885400.7302206184,65
2,0,0,6290.361774557532,579416.9766827509,74
2,0,1,6426.029084902088,679329.5558549555,70
2,0,2,6798.150846277481,798272.1164866547,75
2,0,3,4318.378063242739,388452.735674981,52
2,0,4,6379.110090548238,659873.1906245437,69
2,1,0,6362.380086303539,588050.248699481,74
2,1,1,6407.965259265262,671460.7008398743,70
2,1,2,6803.818780786984,799548.2618870109,75
2,1,3,4324.104254275037,388496.2628046161,52
2,1,4,6372.456382352194,658135.0610221444,69
2,2,0,6406.753461346001,606901.8410786592,74
2,2,1,6407.980327192598,671462.9521355341,70
2,2,2,6799.076621249333,796681.3851064888,75
2,2,3,4451.399089665746,406393.3445027485,52
2,2,4,6336.563024307314,650285.8964644053,69
