# mesh name: boxMesh_2
# primitive scorer name: flux
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,5823.949934769024,1016357.659703704,57
0,0,1,5551.384736431035,619981.0639384292,55
0,0,2,5802.152751639737,773884.2087826469,57
0,0,3,5781.881286638598,623416.7407137504,60
0,0,4,5660.688746254353,695053.2486249001,53
0,1,0,5860.416800616249,1019270.516071976,57
0,1,1,5482.830169732776,618140.3662323953,54
0,1,2,5857.050622872145,778887.8274548774,57
0,1,3,5701.602372587059,616972.2938099401,59
0,1,4,5681.379636508438,695469.8354214923,54
0,2,0,5822.140821070235,1017800.343460454,56
0,2,1,5545.504056376803,646343.7396910647,54
0,2,2,5821.239202842481,781851.8599436347,56
0,2,3,5701.570428247075,616967.4083036588,59
0,2,4,5921.253925244261,775825.0873634594,55
1,0,0,6270.978797177048,662132.7540927748,67
1,0,1,5073.904997994405,518268.3770847119,54
1,0,2,6179.590697101754,910514.1037075538,61
1,0,3,4578.588151879031,524752.2764033165,46
1,0,4,7451.009539626976,942107.1354001043,71
1,1,0,6295.377466383858,661896.8967980568,68
1,1,1,5265.470110774187,544435.7044054247,56
1,1,2,6114.491977559744,906288.937080202,60
1,1,3,4659.05590829906,531235.5118621994,46
1,1,4,7524.76408201253,958307.7109029103,71
1,2,0,6473.085147527587,724597.425375085,67
1,2,1,5357.120377432902,567008.1607130378,56
1,2,2,6017.611275407525,886259.450108083,60
1,2,3,4713.50518276111,534200.235351668,47
1,2,4,7448.775217923145,951686.8599789548,71
2,0,0,6760.080171052439,690453.2845050106,73
2,0,1,5161.954591481195,628286.0132707111,51
2,0,2,5503.081927666827,745126.6133697229,50
2,0,3,5401.536590033283,490659.2022992218,61
2,0,4,4731.971798812321,486838.9524698801,50
2,1,0,6761.306898120829,666708.700048791,73
2,1,1,4988.650739086637,587524.6641362454,50
2,1,2,5319.793653483251,712707.4361256185,49
2,1,3,5401.536590031891,490659.2022989688,61
2,1,4,4836.137388843677,497689.3882116835,51
2,2,0,6579.177863740357,633537.714884428,72
2,2,1,4939.948138164733,585174.4228390359,49
2,2,2,5418.678557154645,771110.4009623416,49
2,2,3,5500.495243660629,497645.8893733156,63
2,2,4,4863.450485248474,505825.6674557332,51
