event ID: 77896	Primary scintillation events:4231	Primary Cerenkov events: 171	Secondary Scintillation events: 2693	Secondary Cerenkov Events: 0
event ID: 151249	Primary scintillation events:1401	Primary Cerenkov events: 56	Secondary Scintillation events: 5699	Secondary Cerenkov Events: 33
event ID: 197334	Primary scintillation events:1243	Primary Cerenkov events: 55	Secondary Scintillation events: 6147	Secondary Cerenkov Events: 33
event ID: 228811	Primary scintillation events:2559	Primary Cerenkov events: 107	Secondary Scintillation events: 8755	Secondary Cerenkov Events: 33
event ID: 348731	Primary scintillation events:962	Primary Cerenkov events: 33	Secondary Scintillation events: 9383	Secondary Cerenkov Events: 33
event ID: 394850	Primary scintillation events:956	Primary Cerenkov events: 54	Secondary Scintillation events: 11143	Secondary Cerenkov Events: 40
event ID: 512216	Primary scintillation events:833	Primary Cerenkov events: 44	Secondary Scintillation events: 13873	Secondary Cerenkov Events: 62
event ID: 578416	Primary scintillation events:472	Primary Cerenkov events: 21	Secondary Scintillation events: 14221	Secondary Cerenkov Events: 62
event ID: 588481	Primary scintillation events:2587	Primary Cerenkov events: 104	Secondary Scintillation events: 15738	Secondary Cerenkov Events: 63
event ID: 595106	Primary scintillation events:1154	Primary Cerenkov events: 50	Secondary Scintillation events: 16223	Secondary Cerenkov Events: 63
event ID: 680447	Primary scintillation events:3327	Primary Cerenkov events: 148	Secondary Scintillation events: 20389	Secondary Cerenkov Events: 74
event ID: 791529	Primary scintillation events:911	Primary Cerenkov events: 40	Secondary Scintillation events: 21169	Secondary Cerenkov Events: 74
event ID: 888827	Primary scintillation events:4113	Primary Cerenkov events: 196	Secondary Scintillation events: 25500	Secondary Cerenkov Events: 84
event ID: 952601	Primary scintillation events:1115	Primary Cerenkov events: 46	Secondary Scintillation events: 26253	Secondary Cerenkov Events: 84
