event ID: 4823	scintillation events:675	Cerenkov events: 18
event ID: 12654	scintillation events:875	Cerenkov events: 15
event ID: 25580	scintillation events:3393	Cerenkov events: 63
event ID: 35231	scintillation events:2760	Cerenkov events: 63
event ID: 38588	scintillation events:7298	Cerenkov events: 193
event ID: 61947	scintillation events:2130	Cerenkov events: 58
event ID: 106046	scintillation events:105	Cerenkov events: 0
event ID: 108393	scintillation events:130	Cerenkov events: 0
event ID: 154387	scintillation events:59	Cerenkov events: 1
event ID: 154494	scintillation events:2659	Cerenkov events: 67
event ID: 173138	scintillation events:165	Cerenkov events: 0
event ID: 181600	scintillation events:2288	Cerenkov events: 66
event ID: 193306	scintillation events:2236	Cerenkov events: 61
event ID: 208576	scintillation events:3507	Cerenkov events: 93
event ID: 221575	scintillation events:150	Cerenkov events: 8
event ID: 224614	scintillation events:365	Cerenkov events: 4
event ID: 227236	scintillation events:2130	Cerenkov events: 66
event ID: 260590	scintillation events:39	Cerenkov events: 0
event ID: 289658	scintillation events:4707	Cerenkov events: 98
event ID: 309501	scintillation events:140	Cerenkov events: 0
event ID: 316672	scintillation events:98	Cerenkov events: 0
event ID: 319554	scintillation events:138	Cerenkov events: 0
event ID: 319604	scintillation events:2012	Cerenkov events: 60
event ID: 337525	scintillation events:74	Cerenkov events: 0
event ID: 367091	scintillation events:3454	Cerenkov events: 74
event ID: 394081	scintillation events:2494	Cerenkov events: 88
event ID: 404463	scintillation events:370	Cerenkov events: 9
event ID: 416339	scintillation events:1057	Cerenkov events: 27
event ID: 432293	scintillation events:939	Cerenkov events: 26
event ID: 456100	scintillation events:1556	Cerenkov events: 34
event ID: 456168	scintillation events:3203	Cerenkov events: 85
event ID: 482939	scintillation events:4884	Cerenkov events: 75
event ID: 496302	scintillation events:1648	Cerenkov events: 46
event ID: 502270	scintillation events:2009	Cerenkov events: 40
event ID: 508500	scintillation events:2323	Cerenkov events: 64
event ID: 563810	scintillation events:3222	Cerenkov events: 67
event ID: 571060	scintillation events:2015	Cerenkov events: 76
event ID: 571102	scintillation events:2479	Cerenkov events: 52
event ID: 594781	scintillation events:2300	Cerenkov events: 59
event ID: 634178	scintillation events:1926	Cerenkov events: 63
event ID: 639390	scintillation events:2227	Cerenkov events: 72
event ID: 639502	scintillation events:2898	Cerenkov events: 68
event ID: 639567	scintillation events:1460	Cerenkov events: 26
event ID: 656770	scintillation events:1324	Cerenkov events: 33
event ID: 667519	scintillation events:7992	Cerenkov events: 208
event ID: 698977	scintillation events:58	Cerenkov events: 0
event ID: 703018	scintillation events:75	Cerenkov events: 0
event ID: 706016	scintillation events:946	Cerenkov events: 20
event ID: 709220	scintillation events:16	Cerenkov events: 0
event ID: 713232	scintillation events:142	Cerenkov events: 0
event ID: 713367	scintillation events:2345	Cerenkov events: 63
event ID: 726073	scintillation events:2385	Cerenkov events: 67
event ID: 726130	scintillation events:1180	Cerenkov events: 42
event ID: 744057	scintillation events:58	Cerenkov events: 0
event ID: 758909	scintillation events:5242	Cerenkov events: 171
event ID: 805524	scintillation events:3293	Cerenkov events: 74
event ID: 829604	scintillation events:403	Cerenkov events: 0
event ID: 850823	scintillation events:1575	Cerenkov events: 36
event ID: 871679	scintillation events:1795	Cerenkov events: 42
event ID: 880414	scintillation events:3223	Cerenkov events: 96
event ID: 884822	scintillation events:2339	Cerenkov events: 76
event ID: 888890	scintillation events:3857	Cerenkov events: 79
event ID: 914768	scintillation events:2168	Cerenkov events: 72
event ID: 921669	scintillation events:94	Cerenkov events: 0
event ID: 987360	scintillation events:152	Cerenkov events: 0
