event ID: 7331	scintillation events:176	Cerenkov events: 6
event ID: 10738	scintillation events:2044	Cerenkov events: 40
event ID: 19937	scintillation events:189	Cerenkov events: 0
event ID: 23746	scintillation events:678	Cerenkov events: 30
event ID: 58335	scintillation events:1999	Cerenkov events: 59
event ID: 84376	scintillation events:41	Cerenkov events: 0
event ID: 93864	scintillation events:2791	Cerenkov events: 78
event ID: 143164	scintillation events:540	Cerenkov events: 9
event ID: 149615	scintillation events:15288	Cerenkov events: 353
event ID: 159193	scintillation events:2426	Cerenkov events: 75
event ID: 176571	scintillation events:8337	Cerenkov events: 197
event ID: 186948	scintillation events:916	Cerenkov events: 22
event ID: 200849	scintillation events:3423	Cerenkov events: 83
event ID: 200866	scintillation events:1610	Cerenkov events: 15
event ID: 220646	scintillation events:51	Cerenkov events: 0
event ID: 230333	scintillation events:1411	Cerenkov events: 49
event ID: 238998	scintillation events:1384	Cerenkov events: 24
event ID: 270817	scintillation events:4558	Cerenkov events: 79
event ID: 270926	scintillation events:970	Cerenkov events: 24
event ID: 278033	scintillation events:2333	Cerenkov events: 86
event ID: 300832	scintillation events:3799	Cerenkov events: 82
event ID: 304991	scintillation events:2425	Cerenkov events: 77
event ID: 335379	scintillation events:3765	Cerenkov events: 64
event ID: 368693	scintillation events:2249	Cerenkov events: 69
event ID: 380304	scintillation events:1584	Cerenkov events: 43
event ID: 380411	scintillation events:1481	Cerenkov events: 31
event ID: 384987	scintillation events:2125	Cerenkov events: 58
event ID: 388808	scintillation events:71	Cerenkov events: 0
event ID: 388899	scintillation events:2555	Cerenkov events: 70
event ID: 395486	scintillation events:1178	Cerenkov events: 34
event ID: 395512	scintillation events:138	Cerenkov events: 0
event ID: 398985	scintillation events:105	Cerenkov events: 0
event ID: 417821	scintillation events:2187	Cerenkov events: 41
event ID: 423295	scintillation events:2471	Cerenkov events: 63
event ID: 427686	scintillation events:619	Cerenkov events: 20
event ID: 432800	scintillation events:3580	Cerenkov events: 78
event ID: 432817	scintillation events:571	Cerenkov events: 19
event ID: 435872	scintillation events:2290	Cerenkov events: 61
event ID: 438270	scintillation events:7418	Cerenkov events: 183
event ID: 449970	scintillation events:3788	Cerenkov events: 93
event ID: 462186	scintillation events:4895	Cerenkov events: 105
event ID: 462231	scintillation events:516	Cerenkov events: 0
event ID: 495119	scintillation events:2043	Cerenkov events: 63
event ID: 499333	scintillation events:1312	Cerenkov events: 43
event ID: 521036	scintillation events:2532	Cerenkov events: 78
event ID: 521169	scintillation events:29	Cerenkov events: 0
event ID: 521218	scintillation events:5444	Cerenkov events: 112
event ID: 548445	scintillation events:620	Cerenkov events: 11
event ID: 555470	scintillation events:934	Cerenkov events: 20
event ID: 565458	scintillation events:4721	Cerenkov events: 141
event ID: 584896	scintillation events:4122	Cerenkov events: 74
event ID: 601479	scintillation events:118	Cerenkov events: 0
event ID: 604611	scintillation events:1497	Cerenkov events: 47
event ID: 621339	scintillation events:2744	Cerenkov events: 57
event ID: 645663	scintillation events:2091	Cerenkov events: 75
event ID: 651773	scintillation events:888	Cerenkov events: 23
event ID: 654496	scintillation events:297	Cerenkov events: 0
event ID: 654554	scintillation events:43	Cerenkov events: 0
event ID: 658106	scintillation events:2965	Cerenkov events: 69
event ID: 662277	scintillation events:7324	Cerenkov events: 192
event ID: 674457	scintillation events:665	Cerenkov events: 8
event ID: 685413	scintillation events:2004	Cerenkov events: 62
event ID: 689516	scintillation events:158	Cerenkov events: 0
event ID: 692765	scintillation events:4557	Cerenkov events: 134
event ID: 698433	scintillation events:104	Cerenkov events: 0
event ID: 712672	scintillation events:4414	Cerenkov events: 125
event ID: 719671	scintillation events:2181	Cerenkov events: 60
event ID: 723142	scintillation events:1622	Cerenkov events: 56
event ID: 753601	scintillation events:2270	Cerenkov events: 74
event ID: 761532	scintillation events:2215	Cerenkov events: 70
event ID: 790651	scintillation events:2397	Cerenkov events: 77
event ID: 790760	scintillation events:1319	Cerenkov events: 32
event ID: 793389	scintillation events:3522	Cerenkov events: 102
event ID: 798400	scintillation events:3343	Cerenkov events: 77
event ID: 798555	scintillation events:2897	Cerenkov events: 61
event ID: 802636	scintillation events:2961	Cerenkov events: 64
event ID: 807419	scintillation events:25	Cerenkov events: 0
event ID: 813045	scintillation events:1350	Cerenkov events: 43
event ID: 832022	scintillation events:2799	Cerenkov events: 83
event ID: 834421	scintillation events:2482	Cerenkov events: 61
event ID: 848830	scintillation events:3817	Cerenkov events: 84
event ID: 852516	scintillation events:133	Cerenkov events: 1
event ID: 852561	scintillation events:162	Cerenkov events: 3
event ID: 892931	scintillation events:4185	Cerenkov events: 108
event ID: 918031	scintillation events:128	Cerenkov events: 0
event ID: 927171	scintillation events:2196	Cerenkov events: 66
event ID: 927201	scintillation events:2492	Cerenkov events: 67
event ID: 938340	scintillation events:1835	Cerenkov events: 63
event ID: 944661	scintillation events:141	Cerenkov events: 0
event ID: 952206	scintillation events:400	Cerenkov events: 10
event ID: 955573	scintillation events:1013	Cerenkov events: 23
event ID: 959726	scintillation events:7502	Cerenkov events: 145
event ID: 971606	scintillation events:3015	Cerenkov events: 62
event ID: 977699	scintillation events:2458	Cerenkov events: 41
event ID: 980361	scintillation events:353	Cerenkov events: 0
event ID: 985982	scintillation events:2600	Cerenkov events: 78
event ID: 988193	scintillation events:118	Cerenkov events: 0
event ID: 992716	scintillation events:1459	Cerenkov events: 36
event ID: 998539	scintillation events:2006	Cerenkov events: 55
