event ID: 28811	scintillation events:1968	Cerenkov events: 55
event ID: 44622	scintillation events:2090	Cerenkov events: 59
event ID: 54434	scintillation events:409	Cerenkov events: 0
event ID: 55879	scintillation events:255	Cerenkov events: 2
event ID: 66951	scintillation events:94	Cerenkov events: 0
event ID: 74887	scintillation events:2718	Cerenkov events: 63
event ID: 76359	scintillation events:697	Cerenkov events: 24
event ID: 114474	scintillation events:25	Cerenkov events: 1
event ID: 121857	scintillation events:2676	Cerenkov events: 76
event ID: 147633	scintillation events:2263	Cerenkov events: 45
event ID: 149197	scintillation events:4043	Cerenkov events: 100
event ID: 170353	scintillation events:584	Cerenkov events: 22
event ID: 170395	scintillation events:507	Cerenkov events: 16
event ID: 190612	scintillation events:4226	Cerenkov events: 102
