# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.159414301104987e-08,3.083043113348185e-17,7
0,0,1,7.491300302358547e-09,1.160218273160502e-17,7
0,0,2,8.820045927045838e-09,2.636860690773946e-17,6
0,0,3,1.556498582413581e-08,3.233039557817918e-17,11
0,0,4,2.139660721021772e-08,6.893807818286836e-17,14
0,0,5,1.584610430226191e-08,8.016592794156164e-17,8
0,0,6,9.819110713871515e-09,1.559048744520539e-17,8
0,0,7,5.251598708416656e-09,6.177278148293198e-18,7
0,0,8,2.488692820144322e-08,3.564486150669257e-16,7
0,0,9,1.013084904870238e-08,2.503687838741727e-17,8
0,0,10,1.026890135251192e-08,1.482332406744266e-17,10
0,0,11,2.239062357020894e-08,6.543055811668678e-17,13
0,0,12,1.549492356821062e-08,2.514183186144991e-17,14
0,0,13,7.980917724534379e-09,1.476738669019027e-17,6
0,0,14,2.247849572260769e-08,1.036196721963155e-16,11
0,0,15,6.505890597445624e-09,7.414081620568541e-18,7
0,0,16,3.810630779785458e-09,3.558694912959797e-18,7
0,0,17,1.386681972225536e-08,3.635738847348342e-17,9
0,0,18,3.585154439612516e-08,1.958877921633584e-16,15
0,0,19,9.218079199150149e-09,2.332731568525385e-17,7
0,0,20,1.054724380065485e-08,1.702036666609835e-17,9
0,0,21,1.768356112208313e-08,5.022029474298248e-17,12
0,0,22,3.426315985111759e-08,6.161080403093451e-16,11
0,0,23,5.974772573756581e-09,7.553357671415346e-18,7
0,0,24,2.483972936331339e-09,2.063123645930942e-18,3
0,0,25,1.655273192507585e-08,5.436824645773565e-17,10
0,0,26,2.067199148588326e-08,9.425719688811247e-17,10
0,0,27,1.538086565287929e-08,6.802406635559014e-17,8
0,0,28,8.907459714284932e-09,1.805132758072665e-17,8
0,0,29,7.462350463319268e-09,1.875152156255853e-17,6
0,0,30,4.908424351179808e-08,1.474701640498297e-15,12
0,0,31,2.103983433354881e-08,9.698299769984124e-17,12
0,0,32,2.157293336729795e-08,9.21032941577099e-17,9
0,0,33,3.241444463737125e-09,2.979223399564524e-18,6
0,0,34,1.696148139859092e-08,2.251550147307542e-16,3
0,0,35,2.080579445829705e-08,9.713461285957038e-17,10
0,0,36,2.214360150033591e-08,8.190228853792042e-17,14
0,0,37,8.903157159194094e-09,1.670379584873075e-17,6
0,0,38,2.870787735478943e-09,2.461268779636706e-18,4
0,0,39,1.096590731794164e-08,3.031299635826699e-17,9
0,1,0,1.866314814974576e-08,1.288323717919558e-16,7
0,1,1,1.381878824744176e-08,4.945059464855687e-17,8
0,1,2,8.285595212305449e-09,1.292098385174496e-17,9
0,1,3,2.502253157852655e-09,1.363466769210207e-18,6
0,1,4,1.72387080522727e-08,7.03051983931549e-17,10
0,1,5,1.316570472043609e-08,2.852523747604285e-17,9
0,1,6,1.096850540289774e-08,1.9123490873204e-17,9
0,1,7,1.964448645343508e-08,3.636668550874628e-17,18
0,1,8,1.407159352300924e-08,5.900169815632647e-17,7
0,1,9,7.372198674763205e-09,1.182272991689002e-17,7
0,1,10,1.650639294314091e-08,3.677357218881647e-17,11
0,1,11,1.072038130540903e-08,2.222653159776307e-17,8
0,1,12,4.120658932292607e-08,3.030062882046813e-16,17
0,1,13,4.971759573637592e-08,7.757191418931089e-16,12
0,1,14,1.361985912529959e-08,1.777508454415525e-17,16
0,1,15,2.942790893470541e-08,1.401195509366059e-16,12
0,1,16,1.210765311375827e-08,3.385103025417297e-17,8
0,1,17,2.201530528929462e-08,1.038349556382705e-16,11
0,1,18,5.259872669973357e-08,2.048633436212932e-15,9
0,1,19,1.613983765677347e-08,4.143004024770066e-17,10
0,1,20,8.379684635765907e-09,1.545657966476547e-17,7
0,1,21,1.208799805176766e-08,1.959132736187495e-17,15
0,1,22,7.595472113331802e-09,9.780978274431632e-18,10
0,1,23,9.644264266827017e-09,5.549186827166439e-17,4
0,1,24,9.245429381023111e-09,1.428089036749924e-17,8
0,1,25,2.353064513956131e-08,1.928963958783982e-16,10
0,1,26,3.353921874239841e-08,4.781936443704373e-16,9
0,1,27,1.845968466666315e-08,7.22685072428106e-17,11
