event ID: 16763	scintillation events:3371	Cerenkov events: 46
event ID: 35213	scintillation events:1038	Cerenkov events: 27
event ID: 38943	scintillation events:5756	Cerenkov events: 96
event ID: 39015	scintillation events:3094	Cerenkov events: 85
event ID: 49877	scintillation events:90	Cerenkov events: 0
event ID: 53112	scintillation events:2662	Cerenkov events: 69
event ID: 66072	scintillation events:2999	Cerenkov events: 86
event ID: 66176	scintillation events:2260	Cerenkov events: 66
event ID: 134772	scintillation events:134	Cerenkov events: 0
event ID: 174628	scintillation events:3227	Cerenkov events: 87
event ID: 180817	scintillation events:3670	Cerenkov events: 74
event ID: 185950	scintillation events:64	Cerenkov events: 0
event ID: 204238	scintillation events:294	Cerenkov events: 0
event ID: 209534	scintillation events:1150	Cerenkov events: 32
event ID: 216591	scintillation events:97	Cerenkov events: 0
event ID: 231228	scintillation events:92	Cerenkov events: 0
event ID: 245697	scintillation events:1984	Cerenkov events: 32
event ID: 271404	scintillation events:2590	Cerenkov events: 89
event ID: 293761	scintillation events:102	Cerenkov events: 0
event ID: 293778	scintillation events:2449	Cerenkov events: 69
event ID: 317533	scintillation events:2040	Cerenkov events: 54
event ID: 334648	scintillation events:2334	Cerenkov events: 57
event ID: 339471	scintillation events:208	Cerenkov events: 0
event ID: 345662	scintillation events:113	Cerenkov events: 0
event ID: 345711	scintillation events:2785	Cerenkov events: 31
event ID: 350758	scintillation events:1669	Cerenkov events: 15
event ID: 362377	scintillation events:16	Cerenkov events: 0
event ID: 379855	scintillation events:3086	Cerenkov events: 100
event ID: 398879	scintillation events:629	Cerenkov events: 21
event ID: 405296	scintillation events:402	Cerenkov events: 16
event ID: 420050	scintillation events:3294	Cerenkov events: 99
event ID: 437818	scintillation events:1091	Cerenkov events: 32
event ID: 453801	scintillation events:2685	Cerenkov events: 75
event ID: 463214	scintillation events:2576	Cerenkov events: 51
event ID: 473043	scintillation events:3521	Cerenkov events: 68
event ID: 530789	scintillation events:105	Cerenkov events: 0
event ID: 551191	scintillation events:98	Cerenkov events: 6
event ID: 570638	scintillation events:2165	Cerenkov events: 71
event ID: 570781	scintillation events:1696	Cerenkov events: 29
event ID: 590594	scintillation events:4120	Cerenkov events: 81
event ID: 612779	scintillation events:3163	Cerenkov events: 83
event ID: 639577	scintillation events:260	Cerenkov events: 0
event ID: 644389	scintillation events:123	Cerenkov events: 2
event ID: 644516	scintillation events:3632	Cerenkov events: 78
event ID: 653133	scintillation events:146	Cerenkov events: 0
event ID: 659859	scintillation events:3891	Cerenkov events: 102
event ID: 659884	scintillation events:243	Cerenkov events: 0
event ID: 673762	scintillation events:5487	Cerenkov events: 84
event ID: 682233	scintillation events:7359	Cerenkov events: 157
event ID: 682236	scintillation events:120	Cerenkov events: 0
event ID: 688446	scintillation events:77	Cerenkov events: 0
event ID: 691973	scintillation events:338	Cerenkov events: 5
event ID: 698692	scintillation events:175	Cerenkov events: 9
event ID: 698868	scintillation events:2898	Cerenkov events: 70
event ID: 704424	scintillation events:1114	Cerenkov events: 36
event ID: 717405	scintillation events:2445	Cerenkov events: 85
event ID: 748299	scintillation events:7488	Cerenkov events: 226
event ID: 787470	scintillation events:2207	Cerenkov events: 19
event ID: 804189	scintillation events:1167	Cerenkov events: 8
event ID: 809509	scintillation events:238	Cerenkov events: 0
event ID: 823051	scintillation events:360	Cerenkov events: 9
event ID: 841107	scintillation events:1610	Cerenkov events: 50
event ID: 872555	scintillation events:169	Cerenkov events: 0
event ID: 898464	scintillation events:33	Cerenkov events: 0
event ID: 908440	scintillation events:2483	Cerenkov events: 62
event ID: 926744	scintillation events:2137	Cerenkov events: 65
event ID: 934857	scintillation events:3416	Cerenkov events: 110
event ID: 935135	scintillation events:69	Cerenkov events: 0
event ID: 943809	scintillation events:1527	Cerenkov events: 55
event ID: 951349	scintillation events:4606	Cerenkov events: 97
event ID: 977598	scintillation events:3656	Cerenkov events: 86
event ID: 984275	scintillation events:786	Cerenkov events: 2
event ID: 988539	scintillation events:3452	Cerenkov events: 66
