event ID: 22873	scintillation events:1885	Cerenkov events: 62
event ID: 22938	scintillation events:1668	Cerenkov events: 57
event ID: 58005	scintillation events:84	Cerenkov events: 2
event ID: 61213	scintillation events:4000	Cerenkov events: 96
event ID: 112703	scintillation events:22	Cerenkov events: 0
event ID: 117218	scintillation events:146	Cerenkov events: 0
event ID: 133487	scintillation events:212	Cerenkov events: 0
event ID: 148117	scintillation events:1450	Cerenkov events: 55
event ID: 152842	scintillation events:1219	Cerenkov events: 38
event ID: 164204	scintillation events:142	Cerenkov events: 0
event ID: 169023	scintillation events:177	Cerenkov events: 1
event ID: 173694	scintillation events:532	Cerenkov events: 24
event ID: 189393	scintillation events:3344	Cerenkov events: 87
event ID: 200347	scintillation events:158	Cerenkov events: 5
event ID: 209619	scintillation events:2443	Cerenkov events: 58
event ID: 271474	scintillation events:761	Cerenkov events: 1
event ID: 271531	scintillation events:4536	Cerenkov events: 111
event ID: 278863	scintillation events:864	Cerenkov events: 42
event ID: 298935	scintillation events:175	Cerenkov events: 11
event ID: 316892	scintillation events:1207	Cerenkov events: 33
event ID: 332613	scintillation events:117	Cerenkov events: 0
event ID: 338733	scintillation events:1923	Cerenkov events: 31
event ID: 348210	scintillation events:896	Cerenkov events: 24
event ID: 357845	scintillation events:98	Cerenkov events: 0
event ID: 358174	scintillation events:4239	Cerenkov events: 93
event ID: 370637	scintillation events:81	Cerenkov events: 0
event ID: 378231	scintillation events:82	Cerenkov events: 0
event ID: 378275	scintillation events:6806	Cerenkov events: 169
event ID: 407263	scintillation events:192	Cerenkov events: 0
event ID: 407283	scintillation events:556	Cerenkov events: 7
event ID: 423153	scintillation events:1620	Cerenkov events: 51
event ID: 423186	scintillation events:1940	Cerenkov events: 61
event ID: 423267	scintillation events:106	Cerenkov events: 0
event ID: 449383	scintillation events:86	Cerenkov events: 3
event ID: 454754	scintillation events:64	Cerenkov events: 0
event ID: 465048	scintillation events:2288	Cerenkov events: 56
event ID: 501005	scintillation events:246	Cerenkov events: 3
event ID: 508713	scintillation events:158	Cerenkov events: 0
event ID: 518498	scintillation events:832	Cerenkov events: 17
event ID: 560693	scintillation events:2674	Cerenkov events: 71
event ID: 577284	scintillation events:483	Cerenkov events: 10
event ID: 593884	scintillation events:49	Cerenkov events: 0
event ID: 611525	scintillation events:1564	Cerenkov events: 44
event ID: 616025	scintillation events:2189	Cerenkov events: 73
event ID: 630443	scintillation events:400	Cerenkov events: 18
event ID: 630681	scintillation events:4023	Cerenkov events: 142
event ID: 630691	scintillation events:2111	Cerenkov events: 59
event ID: 640047	scintillation events:35	Cerenkov events: 2
event ID: 652728	scintillation events:450	Cerenkov events: 10
event ID: 661776	scintillation events:1134	Cerenkov events: 34
event ID: 664738	scintillation events:5386	Cerenkov events: 119
event ID: 665028	scintillation events:2218	Cerenkov events: 46
event ID: 676371	scintillation events:49	Cerenkov events: 0
event ID: 679377	scintillation events:2309	Cerenkov events: 68
event ID: 679562	scintillation events:142	Cerenkov events: 5
event ID: 704354	scintillation events:441	Cerenkov events: 0
event ID: 707914	scintillation events:190	Cerenkov events: 0
event ID: 713300	scintillation events:262	Cerenkov events: 0
event ID: 735015	scintillation events:272	Cerenkov events: 0
event ID: 738114	scintillation events:1909	Cerenkov events: 48
event ID: 738250	scintillation events:2080	Cerenkov events: 40
event ID: 758638	scintillation events:118	Cerenkov events: 4
event ID: 762618	scintillation events:421	Cerenkov events: 10
event ID: 781680	scintillation events:1366	Cerenkov events: 41
event ID: 793238	scintillation events:521	Cerenkov events: 17
event ID: 804565	scintillation events:891	Cerenkov events: 29
event ID: 808750	scintillation events:38	Cerenkov events: 2
event ID: 818489	scintillation events:3174	Cerenkov events: 41
event ID: 822747	scintillation events:3625	Cerenkov events: 79
event ID: 842628	scintillation events:4025	Cerenkov events: 122
event ID: 872180	scintillation events:569	Cerenkov events: 18
event ID: 872194	scintillation events:141	Cerenkov events: 0
event ID: 877166	scintillation events:204	Cerenkov events: 0
event ID: 881404	scintillation events:184	Cerenkov events: 0
event ID: 894617	scintillation events:2969	Cerenkov events: 50
event ID: 901648	scintillation events:237	Cerenkov events: 0
event ID: 917906	scintillation events:4558	Cerenkov events: 107
event ID: 925596	scintillation events:3429	Cerenkov events: 57
event ID: 925601	scintillation events:2827	Cerenkov events: 89
event ID: 933596	scintillation events:749	Cerenkov events: 9
event ID: 933877	scintillation events:288	Cerenkov events: 9
event ID: 946790	scintillation events:1669	Cerenkov events: 34
event ID: 946853	scintillation events:3124	Cerenkov events: 71
event ID: 952130	scintillation events:816	Cerenkov events: 26
event ID: 956466	scintillation events:571	Cerenkov events: 3
event ID: 965291	scintillation events:173	Cerenkov events: 0
event ID: 970252	scintillation events:5394	Cerenkov events: 136
event ID: 970455	scintillation events:721	Cerenkov events: 3
event ID: 970547	scintillation events:205	Cerenkov events: 0
event ID: 1000919	scintillation events:2303	Cerenkov events: 46
event ID: 1001101	scintillation events:6345	Cerenkov events: 122
event ID: 1011808	scintillation events:1003	Cerenkov events: 44
event ID: 1020057	scintillation events:113	Cerenkov events: 2
event ID: 1025632	scintillation events:82	Cerenkov events: 0
event ID: 1032742	scintillation events:209	Cerenkov events: 0
event ID: 1032821	scintillation events:29	Cerenkov events: 0
event ID: 1044093	scintillation events:2481	Cerenkov events: 69
event ID: 1067246	scintillation events:142	Cerenkov events: 0
event ID: 1070892	scintillation events:102	Cerenkov events: 0
event ID: 1070894	scintillation events:87	Cerenkov events: 5
event ID: 1075212	scintillation events:127	Cerenkov events: 0
event ID: 1082855	scintillation events:7243	Cerenkov events: 193
event ID: 1082885	scintillation events:177	Cerenkov events: 0
event ID: 1091841	scintillation events:5034	Cerenkov events: 87
event ID: 1091950	scintillation events:779	Cerenkov events: 18
event ID: 1129499	scintillation events:383	Cerenkov events: 12
event ID: 1141905	scintillation events:914	Cerenkov events: 35
event ID: 1147471	scintillation events:259	Cerenkov events: 0
event ID: 1153534	scintillation events:2244	Cerenkov events: 82
event ID: 1158754	scintillation events:10075	Cerenkov events: 177
event ID: 1173388	scintillation events:97	Cerenkov events: 0
event ID: 1181390	scintillation events:5701	Cerenkov events: 144
event ID: 1190313	scintillation events:1161	Cerenkov events: 9
event ID: 1204645	scintillation events:2615	Cerenkov events: 43
event ID: 1209139	scintillation events:69	Cerenkov events: 0
event ID: 1222930	scintillation events:3963	Cerenkov events: 110
event ID: 1277140	scintillation events:46	Cerenkov events: 0
event ID: 1277436	scintillation events:2135	Cerenkov events: 51
event ID: 1291258	scintillation events:375	Cerenkov events: 13
event ID: 1323766	scintillation events:5500	Cerenkov events: 98
event ID: 1331375	scintillation events:916	Cerenkov events: 27
event ID: 1334426	scintillation events:6056	Cerenkov events: 139
event ID: 1334522	scintillation events:95	Cerenkov events: 0
event ID: 1343237	scintillation events:72	Cerenkov events: 0
event ID: 1343386	scintillation events:2119	Cerenkov events: 38
event ID: 1348331	scintillation events:2329	Cerenkov events: 48
event ID: 1366987	scintillation events:2191	Cerenkov events: 85
event ID: 1367048	scintillation events:118	Cerenkov events: 0
event ID: 1377052	scintillation events:2161	Cerenkov events: 77
event ID: 1377239	scintillation events:258	Cerenkov events: 8
event ID: 1406748	scintillation events:6878	Cerenkov events: 182
event ID: 1418682	scintillation events:2678	Cerenkov events: 61
event ID: 1437193	scintillation events:4273	Cerenkov events: 104
event ID: 1443213	scintillation events:656	Cerenkov events: 23
event ID: 1466679	scintillation events:1172	Cerenkov events: 9
event ID: 1481367	scintillation events:750	Cerenkov events: 25
event ID: 1491579	scintillation events:1575	Cerenkov events: 23
event ID: 1491638	scintillation events:2474	Cerenkov events: 79
event ID: 1495634	scintillation events:2926	Cerenkov events: 90
event ID: 1500854	scintillation events:145	Cerenkov events: 0
event ID: 1527000	scintillation events:1746	Cerenkov events: 22
event ID: 1533076	scintillation events:592	Cerenkov events: 18
