event ID: 7546	scintillation events:657	Cerenkov events: 17
event ID: 16717	scintillation events:3536	Cerenkov events: 89
event ID: 20296	scintillation events:2797	Cerenkov events: 86
event ID: 24935	scintillation events:2301	Cerenkov events: 66
event ID: 36521	scintillation events:1446	Cerenkov events: 60
event ID: 39925	scintillation events:6806	Cerenkov events: 164
event ID: 74539	scintillation events:4150	Cerenkov events: 131
event ID: 92282	scintillation events:2568	Cerenkov events: 60
event ID: 101107	scintillation events:242	Cerenkov events: 16
event ID: 103896	scintillation events:190	Cerenkov events: 0
event ID: 107299	scintillation events:2714	Cerenkov events: 75
event ID: 107338	scintillation events:3577	Cerenkov events: 61
event ID: 113002	scintillation events:93	Cerenkov events: 0
event ID: 113145	scintillation events:59	Cerenkov events: 0
event ID: 115578	scintillation events:4641	Cerenkov events: 108
event ID: 139357	scintillation events:4632	Cerenkov events: 100
event ID: 145044	scintillation events:4658	Cerenkov events: 123
event ID: 148673	scintillation events:207	Cerenkov events: 0
event ID: 159529	scintillation events:5881	Cerenkov events: 95
event ID: 174432	scintillation events:321	Cerenkov events: 0
event ID: 177439	scintillation events:125	Cerenkov events: 0
event ID: 180923	scintillation events:5105	Cerenkov events: 115
event ID: 185072	scintillation events:2440	Cerenkov events: 48
event ID: 196022	scintillation events:1719	Cerenkov events: 53
event ID: 205791	scintillation events:2814	Cerenkov events: 71
event ID: 214783	scintillation events:388	Cerenkov events: 11
event ID: 218143	scintillation events:852	Cerenkov events: 13
event ID: 227528	scintillation events:3649	Cerenkov events: 81
event ID: 247214	scintillation events:84	Cerenkov events: 0
event ID: 253618	scintillation events:758	Cerenkov events: 35
event ID: 272598	scintillation events:42	Cerenkov events: 1
event ID: 272686	scintillation events:2011	Cerenkov events: 41
event ID: 294090	scintillation events:1895	Cerenkov events: 74
event ID: 294251	scintillation events:3666	Cerenkov events: 84
event ID: 306570	scintillation events:1102	Cerenkov events: 11
event ID: 314769	scintillation events:2359	Cerenkov events: 60
event ID: 337838	scintillation events:21	Cerenkov events: 0
event ID: 338014	scintillation events:126	Cerenkov events: 4
event ID: 358303	scintillation events:3425	Cerenkov events: 80
event ID: 366898	scintillation events:1335	Cerenkov events: 31
event ID: 368365	scintillation events:4516	Cerenkov events: 113
event ID: 374125	scintillation events:1307	Cerenkov events: 16
event ID: 397059	scintillation events:53	Cerenkov events: 0
event ID: 411151	scintillation events:3604	Cerenkov events: 99
event ID: 411187	scintillation events:6247	Cerenkov events: 176
event ID: 437793	scintillation events:2957	Cerenkov events: 48
event ID: 437886	scintillation events:16	Cerenkov events: 1
event ID: 452173	scintillation events:3838	Cerenkov events: 73
event ID: 464618	scintillation events:2196	Cerenkov events: 63
event ID: 464820	scintillation events:2155	Cerenkov events: 65
event ID: 474364	scintillation events:119	Cerenkov events: 0
event ID: 481978	scintillation events:452	Cerenkov events: 1
event ID: 542191	scintillation events:329	Cerenkov events: 8
event ID: 550004	scintillation events:4705	Cerenkov events: 102
event ID: 579918	scintillation events:1496	Cerenkov events: 32
event ID: 581588	scintillation events:705	Cerenkov events: 28
event ID: 581678	scintillation events:5023	Cerenkov events: 112
event ID: 586518	scintillation events:1221	Cerenkov events: 29
event ID: 589454	scintillation events:474	Cerenkov events: 12
event ID: 605035	scintillation events:1117	Cerenkov events: 31
event ID: 618922	scintillation events:3092	Cerenkov events: 99
event ID: 618945	scintillation events:173	Cerenkov events: 0
event ID: 625879	scintillation events:367	Cerenkov events: 0
event ID: 625893	scintillation events:2665	Cerenkov events: 82
event ID: 647861	scintillation events:2214	Cerenkov events: 59
event ID: 647895	scintillation events:840	Cerenkov events: 23
event ID: 647927	scintillation events:2601	Cerenkov events: 52
event ID: 677444	scintillation events:4040	Cerenkov events: 71
event ID: 691406	scintillation events:86	Cerenkov events: 0
event ID: 719747	scintillation events:7503	Cerenkov events: 165
event ID: 723998	scintillation events:2644	Cerenkov events: 60
event ID: 731523	scintillation events:2852	Cerenkov events: 74
event ID: 752891	scintillation events:3455	Cerenkov events: 97
event ID: 756029	scintillation events:498	Cerenkov events: 19
event ID: 756247	scintillation events:3427	Cerenkov events: 72
event ID: 767356	scintillation events:2878	Cerenkov events: 64
event ID: 772780	scintillation events:901	Cerenkov events: 29
event ID: 772864	scintillation events:1059	Cerenkov events: 13
event ID: 785827	scintillation events:4215	Cerenkov events: 105
event ID: 792076	scintillation events:2946	Cerenkov events: 87
event ID: 792239	scintillation events:286	Cerenkov events: 0
event ID: 794791	scintillation events:489	Cerenkov events: 16
event ID: 794845	scintillation events:126	Cerenkov events: 0
event ID: 817956	scintillation events:2509	Cerenkov events: 67
event ID: 822646	scintillation events:2321	Cerenkov events: 62
event ID: 827578	scintillation events:8191	Cerenkov events: 182
event ID: 853639	scintillation events:2978	Cerenkov events: 73
event ID: 884331	scintillation events:2918	Cerenkov events: 89
event ID: 916578	scintillation events:4349	Cerenkov events: 100
event ID: 920525	scintillation events:1968	Cerenkov events: 52
event ID: 923988	scintillation events:227	Cerenkov events: 10
event ID: 946960	scintillation events:221	Cerenkov events: 9
event ID: 971359	scintillation events:2885	Cerenkov events: 59
event ID: 971385	scintillation events:1642	Cerenkov events: 44
event ID: 991372	scintillation events:3908	Cerenkov events: 70
event ID: 991518	scintillation events:247	Cerenkov events: 0
