event ID: 2278	Primary scintillation events:3336	Primary Cerenkov events: 4	Secondary Scintillation events: 765	Secondary Cerenkov Events: 0
event ID: 3925	Primary scintillation events:3514	Primary Cerenkov events: 34	Secondary Scintillation events: 6623	Secondary Cerenkov Events: 34
event ID: 3979	Primary scintillation events:4086	Primary Cerenkov events: 48	Secondary Scintillation events: 7509	Secondary Cerenkov Events: 34
event ID: 5107	Primary scintillation events:3654	Primary Cerenkov events: 35	Secondary Scintillation events: 9814	Secondary Cerenkov Events: 34
event ID: 7087	Primary scintillation events:3794	Primary Cerenkov events: 28	Secondary Scintillation events: 27403	Secondary Cerenkov Events: 72
event ID: 7093	Primary scintillation events:3600	Primary Cerenkov events: 36	Secondary Scintillation events: 28374	Secondary Cerenkov Events: 72
event ID: 10014	Primary scintillation events:3264	Primary Cerenkov events: 41	Secondary Scintillation events: 29627	Secondary Cerenkov Events: 72
event ID: 11788	Primary scintillation events:3285	Primary Cerenkov events: 24	Secondary Scintillation events: 31148	Secondary Cerenkov Events: 72
event ID: 16406	Primary scintillation events:3430	Primary Cerenkov events: 37	Secondary Scintillation events: 33799	Secondary Cerenkov Events: 72
event ID: 18433	Primary scintillation events:3454	Primary Cerenkov events: 25	Secondary Scintillation events: 34904	Secondary Cerenkov Events: 72
event ID: 21923	Primary scintillation events:4547	Primary Cerenkov events: 46	Secondary Scintillation events: 36748	Secondary Cerenkov Events: 72
event ID: 23434	Primary scintillation events:1137	Primary Cerenkov events: 17	Secondary Scintillation events: 36995	Secondary Cerenkov Events: 72
event ID: 24690	Primary scintillation events:4965	Primary Cerenkov events: 41	Secondary Scintillation events: 39089	Secondary Cerenkov Events: 72
event ID: 24699	Primary scintillation events:1580	Primary Cerenkov events: 12	Secondary Scintillation events: 39508	Secondary Cerenkov Events: 72
event ID: 24727	Primary scintillation events:3388	Primary Cerenkov events: 41	Secondary Scintillation events: 43806	Secondary Cerenkov Events: 73
event ID: 24745	Primary scintillation events:143	Primary Cerenkov events: 0	Secondary Scintillation events: 43858	Secondary Cerenkov Events: 73
event ID: 25408	Primary scintillation events:4021	Primary Cerenkov events: 27	Secondary Scintillation events: 44728	Secondary Cerenkov Events: 73
event ID: 26867	Primary scintillation events:3909	Primary Cerenkov events: 30	Secondary Scintillation events: 47290	Secondary Cerenkov Events: 73
event ID: 26930	Primary scintillation events:3403	Primary Cerenkov events: 25	Secondary Scintillation events: 48318	Secondary Cerenkov Events: 73
event ID: 28331	Primary scintillation events:3610	Primary Cerenkov events: 40	Secondary Scintillation events: 49190	Secondary Cerenkov Events: 73
event ID: 28337	Primary scintillation events:3384	Primary Cerenkov events: 38	Secondary Scintillation events: 50481	Secondary Cerenkov Events: 73
event ID: 30363	Primary scintillation events:5441	Primary Cerenkov events: 44	Secondary Scintillation events: 61363	Secondary Cerenkov Events: 132
event ID: 30366	Primary scintillation events:979	Primary Cerenkov events: 7	Secondary Scintillation events: 61560	Secondary Cerenkov Events: 132
event ID: 31858	Primary scintillation events:1587	Primary Cerenkov events: 12	Secondary Scintillation events: 63231	Secondary Cerenkov Events: 132
