event ID: 3597	Primary scintillation events:9388	Primary Cerenkov events: 86	Secondary Scintillation events: 4161	Secondary Cerenkov Events: 0
event ID: 7199	Primary scintillation events:5552	Primary Cerenkov events: 59	Secondary Scintillation events: 8243	Secondary Cerenkov Events: 4
event ID: 7249	Primary scintillation events:2001	Primary Cerenkov events: 19	Secondary Scintillation events: 8876	Secondary Cerenkov Events: 4
event ID: 8901	Primary scintillation events:1671	Primary Cerenkov events: 15	Secondary Scintillation events: 10143	Secondary Cerenkov Events: 4
event ID: 11857	Primary scintillation events:3687	Primary Cerenkov events: 41	Secondary Scintillation events: 14144	Secondary Cerenkov Events: 6
event ID: 12941	Primary scintillation events:4783	Primary Cerenkov events: 35	Secondary Scintillation events: 16137	Secondary Cerenkov Events: 6
event ID: 17772	Primary scintillation events:5147	Primary Cerenkov events: 41	Secondary Scintillation events: 18573	Secondary Cerenkov Events: 6
event ID: 18954	Primary scintillation events:4377	Primary Cerenkov events: 50	Secondary Scintillation events: 19147	Secondary Cerenkov Events: 6
event ID: 18961	Primary scintillation events:4828	Primary Cerenkov events: 32	Secondary Scintillation events: 22869	Secondary Cerenkov Events: 6
event ID: 18971	Primary scintillation events:10186	Primary Cerenkov events: 59	Secondary Scintillation events: 26227	Secondary Cerenkov Events: 6
event ID: 19875	Primary scintillation events:4012	Primary Cerenkov events: 32	Secondary Scintillation events: 27171	Secondary Cerenkov Events: 6
event ID: 21126	Primary scintillation events:3880	Primary Cerenkov events: 38	Secondary Scintillation events: 30417	Secondary Cerenkov Events: 6
event ID: 21141	Primary scintillation events:5327	Primary Cerenkov events: 59	Secondary Scintillation events: 32575	Secondary Cerenkov Events: 6
event ID: 22585	Primary scintillation events:12857	Primary Cerenkov events: 96	Secondary Scintillation events: 37538	Secondary Cerenkov Events: 6
event ID: 22628	Primary scintillation events:4327	Primary Cerenkov events: 42	Secondary Scintillation events: 41262	Secondary Cerenkov Events: 6
event ID: 23732	Primary scintillation events:3641	Primary Cerenkov events: 28	Secondary Scintillation events: 42066	Secondary Cerenkov Events: 6
event ID: 26547	Primary scintillation events:73	Primary Cerenkov events: 0	Secondary Scintillation events: 42341	Secondary Cerenkov Events: 6
event ID: 27918	Primary scintillation events:9379	Primary Cerenkov events: 60	Secondary Scintillation events: 44228	Secondary Cerenkov Events: 6
event ID: 29795	Primary scintillation events:1434	Primary Cerenkov events: 12	Secondary Scintillation events: 44992	Secondary Cerenkov Events: 6
event ID: 31308	Primary scintillation events:3480	Primary Cerenkov events: 40	Secondary Scintillation events: 45324	Secondary Cerenkov Events: 6
event ID: 36933	Primary scintillation events:3381	Primary Cerenkov events: 33	Secondary Scintillation events: 46052	Secondary Cerenkov Events: 6
event ID: 38939	Primary scintillation events:2916	Primary Cerenkov events: 15	Secondary Scintillation events: 48235	Secondary Cerenkov Events: 6
