# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.260589129718198e-05,4.667373099566986e-14,4619
1,0,0,1.271196068085741e-05,4.585102241771459e-14,4653
2,0,0,1.295245911854071e-05,4.814098556478242e-14,4671
3,0,0,1.304709414340459e-05,5.08031768834946e-14,4684
4,0,0,1.28812040942313e-05,4.923079355208437e-14,4701
5,0,0,1.30970154191482e-05,5.038572784221971e-14,4709
6,0,0,1.330150068273845e-05,5.150857331769491e-14,4762
7,0,0,1.319595305090304e-05,5.081522622211542e-14,4753
8,0,0,1.335481307652453e-05,5.459053768847384e-14,4796
9,0,0,1.326046978834905e-05,5.092092614340117e-14,4769
10,0,0,1.345273518634375e-05,5.458274364834848e-14,4823
11,0,0,1.345999986343712e-05,5.367996029988367e-14,4807
12,0,0,1.349083595405009e-05,5.336433982799712e-14,4850
13,0,0,1.362475576167162e-05,5.315686404810078e-14,4867
14,0,0,1.386682809697901e-05,5.741995467194148e-14,4864
15,0,0,1.397821220382e-05,5.601809035444295e-14,4907
16,0,0,1.388491597229749e-05,5.71254842355105e-14,4940
17,0,0,1.424095799149037e-05,6.02904567937261e-14,4940
18,0,0,1.395933665125297e-05,5.844609419660197e-14,4911
19,0,0,1.394940683181586e-05,5.648171185726191e-14,4873
20,0,0,1.393937948641255e-05,5.911135045286278e-14,4835
21,0,0,1.41768621854672e-05,6.099349668137198e-14,4875
22,0,0,1.44426796887354e-05,6.172158628075905e-14,4899
23,0,0,1.440809344182656e-05,6.146666078211535e-14,4900
24,0,0,1.449523407374504e-05,6.493245641428625e-14,4857
25,0,0,1.449755687291494e-05,6.609313472785833e-14,4871
26,0,0,1.443514455585015e-05,6.516971235731994e-14,4851
27,0,0,1.446113460985878e-05,6.858863872955348e-14,4837
28,0,0,1.436279314395994e-05,6.407769155246064e-14,4806
29,0,0,1.407820132232094e-05,6.070864207916427e-14,4764
30,0,0,1.401242457382747e-05,6.12839910710496e-14,4747
31,0,0,1.437268044653102e-05,6.644573099803474e-14,4789
32,0,0,1.45621420468203e-05,6.56672011156311e-14,4852
33,0,0,1.484760386596601e-05,7.215095165332193e-14,4799
34,0,0,1.476243372990209e-05,6.877375622127322e-14,4836
35,0,0,1.498288209940553e-05,7.269017902357798e-14,4830
36,0,0,1.468384147523506e-05,7.016175486917986e-14,4740
37,0,0,1.478070023915938e-05,7.104957771838062e-14,4756
38,0,0,1.439895581518726e-05,6.869277323591648e-14,4665
39,0,0,1.429007612579696e-05,6.718583072122033e-14,4653
40,0,0,1.429922227902816e-05,6.836436351738969e-14,4640
41,0,0,1.44585339022841e-05,7.09841151472278e-14,4627
42,0,0,1.418186962753314e-05,6.793827806297271e-14,4599
43,0,0,1.446712672779106e-05,7.069601591408958e-14,4636
44,0,0,1.440139078113804e-05,7.305764365577033e-14,4562
45,0,0,1.448979012966215e-05,7.303863008917264e-14,4536
46,0,0,1.449635255284314e-05,7.532462815559549e-14,4458
47,0,0,1.39619910582106e-05,6.922142004460264e-14,4385
48,0,0,1.433278806109405e-05,7.228899124488726e-14,4396
49,0,0,1.437904999840078e-05,7.73495476460423e-14,4300
50,0,0,1.348524067649199e-05,6.926547749443173e-14,4153
51,0,0,1.335366938312332e-05,6.729383256685787e-14,4138
52,0,0,1.347569109820065e-05,7.114118092520331e-14,4084
53,0,0,1.310369747071785e-05,6.702498151377403e-14,4025
54,0,0,1.315769069000362e-05,6.834174911028048e-14,3967
55,0,0,1.28600634031642e-05,6.939867865276353e-14,3887
56,0,0,1.261766684514144e-05,6.522994948394011e-14,3827
57,0,0,1.293406978936131e-05,7.364372491952317e-14,3748
58,0,0,1.203138650791287e-05,6.436823772986743e-14,3623
59,0,0,1.20076547365071e-05,6.62504284592732e-14,3517
60,0,0,1.170989524968414e-05,6.264212633620448e-14,3467
61,0,0,1.14768196288448e-05,6.331994918094629e-14,3351
62,0,0,1.109672269726673e-05,6.217200148833362e-14,3257
63,0,0,1.116182995406821e-05,6.393955837448639e-14,3218
64,0,0,1.111174406324997e-05,6.570298467434796e-14,3120
65,0,0,1.016419996245588e-05,5.444240970782594e-14,3005
66,0,0,1.011112883611622e-05,5.571219362182658e-14,2933
67,0,0,9.894977069425356e-06,5.770077361238942e-14,2793
68,0,0,9.510069572804918e-06,5.307568362860825e-14,2736
69,0,0,9.073687422448769e-06,5.097703288743809e-14,2611
70,0,0,8.921369670816737e-06,5.027763296942347e-14,2517
71,0,0,8.328016141500892e-06,4.431918178481076e-14,2400
72,0,0,8.338225236440895e-06,4.955062349028819e-14,2332
73,0,0,8.022240454623413e-06,4.870900195395852e-14,2227
74,0,0,7.853485671650192e-06,4.723095980094739e-14,2115
75,0,0,7.185614424635649e-06,4.157456118185515e-14,2029
76,0,0,6.746238445826654e-06,3.897618274395308e-14,1900
77,0,0,6.342139389429365e-06,3.448043861278365e-14,1813
78,0,0,6.366280133684006e-06,3.929667631641947e-14,1701
79,0,0,5.80226998484376e-06,3.411671388327685e-14,1608
80,0,0,5.542355861343032e-06,3.314071401318793e-14,1502
81,0,0,5.270297479368422e-06,3.087900106056346e-14,1436
82,0,0,4.822037497864547e-06,2.907923756882077e-14,1303
83,0,0,4.656166786180659e-06,2.905129791563066e-14,1218
84,0,0,4.473803126346736e-06,2.83127359012569e-14,1179
85,0,0,3.920853147738461e-06,2.395661750935221e-14,1063
86,0,0,3.658069527098933e-06,2.145406290662435e-14,984
87,0,0,3.448443533997523e-06,2.061074532065306e-14,916
88,0,0,3.18700404257976e-06,1.968916133088733e-14,836
