# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.310809350267346e-05,5.02262980959432e-14,4616
1,0,0,1.313242507090328e-05,5.075630301247346e-14,4646
2,0,0,1.327163681883782e-05,5.088865103185294e-14,4673
3,0,0,1.342718268081881e-05,5.25002609845058e-14,4684
4,0,0,1.353039685812374e-05,5.44759875866707e-14,4714
5,0,0,1.361703348213239e-05,5.382361532338074e-14,4750
6,0,0,1.39175158480171e-05,5.742212155534501e-14,4796
7,0,0,1.401420067596228e-05,5.858695590242194e-14,4830
8,0,0,1.377324740607215e-05,5.361275283388775e-14,4834
9,0,0,1.41868947579075e-05,6.043413217687051e-14,4836
10,0,0,1.39862118024793e-05,5.583085557096045e-14,4873
11,0,0,1.448184744032522e-05,6.149493857095486e-14,4941
12,0,0,1.445720978022223e-05,6.089099316290939e-14,4921
13,0,0,1.455505937193188e-05,6.240295460003063e-14,4921
14,0,0,1.462698636533055e-05,6.092675632101534e-14,4999
15,0,0,1.482241454150019e-05,6.351592894243414e-14,5001
16,0,0,1.465873914324221e-05,6.04457254630001e-14,4993
17,0,0,1.468925701482777e-05,6.291556221162778e-14,5001
18,0,0,1.497365564846896e-05,6.721663210474571e-14,4968
19,0,0,1.500911459447397e-05,6.743757880982047e-14,4998
20,0,0,1.492335712760944e-05,6.537137818111437e-14,5008
21,0,0,1.518951006151427e-05,6.913355521145567e-14,5000
22,0,0,1.502819826319499e-05,6.902758674303022e-14,4990
23,0,0,1.494009788578261e-05,6.712330745057922e-14,4929
24,0,0,1.49086963780995e-05,6.736460847506184e-14,4912
25,0,0,1.500786360611842e-05,7.110667973606625e-14,4861
26,0,0,1.478279034190839e-05,6.581295513398465e-14,4867
27,0,0,1.484289873457495e-05,6.871594040905269e-14,4819
28,0,0,1.491457491162481e-05,6.790026804874288e-14,4918
29,0,0,1.524554242133004e-05,7.193172580227715e-14,4909
30,0,0,1.533448317405525e-05,7.527365523977173e-14,4874
31,0,0,1.507749368331136e-05,7.087491680840342e-14,4880
32,0,0,1.546028492705643e-05,7.474011557725822e-14,4903
33,0,0,1.560169568787665e-05,7.580147036565945e-14,4963
34,0,0,1.545288596982583e-05,7.735615116524778e-14,4931
35,0,0,1.519360096147858e-05,7.379840675304062e-14,4843
36,0,0,1.516279805844571e-05,7.281420080506475e-14,4860
37,0,0,1.560854329999546e-05,7.837837067763536e-14,4907
38,0,0,1.576460450416448e-05,7.864014225088903e-14,4882
39,0,0,1.555322494427769e-05,7.6630072354638e-14,4884
40,0,0,1.550091943938739e-05,7.962634698879383e-14,4834
41,0,0,1.568157845540385e-05,8.270789740618982e-14,4849
42,0,0,1.59642787930495e-05,8.394408978977508e-14,4817
43,0,0,1.532711622159364e-05,7.773680594999361e-14,4761
44,0,0,1.514362631037912e-05,7.713892395516754e-14,4664
45,0,0,1.528598197431893e-05,7.90222079732553e-14,4697
46,0,0,1.533830393183357e-05,7.85252372115718e-14,4680
47,0,0,1.488069940977823e-05,7.452005677715197e-14,4643
48,0,0,1.506387324371792e-05,7.716696837111521e-14,4593
49,0,0,1.506268627168514e-05,7.785196539523692e-14,4614
50,0,0,1.541357104469533e-05,8.381241984202543e-14,4606
51,0,0,1.577592282558653e-05,9.228100637075065e-14,4622
52,0,0,1.503220070177324e-05,7.725968786476132e-14,4538
53,0,0,1.508125707883201e-05,8.099368000584979e-14,4499
54,0,0,1.498009313357207e-05,8.279963474846225e-14,4436
55,0,0,1.477434147021097e-05,8.251234935152912e-14,4358
56,0,0,1.483673487360622e-05,8.246914567118865e-14,4302
57,0,0,1.435748607887738e-05,7.738999939340201e-14,4281
58,0,0,1.425141608075021e-05,7.733461111034461e-14,4176
59,0,0,1.407921792076852e-05,7.804762606322775e-14,4111
60,0,0,1.396362773394929e-05,7.939060403133091e-14,4043
61,0,0,1.379274849187328e-05,7.731609962955497e-14,3975
62,0,0,1.365975390173501e-05,7.401878764364669e-14,3936
63,0,0,1.346961476223177e-05,7.326872385299409e-14,3886
64,0,0,1.353266785977151e-05,7.62852809224126e-14,3833
65,0,0,1.299789215720596e-05,7.440573297301858e-14,3727
66,0,0,1.273276156069877e-05,7.394548411192231e-14,3612
67,0,0,1.2620723392881e-05,7.370776342074958e-14,3556
68,0,0,1.229241313503533e-05,7.192982182997216e-14,3458
69,0,0,1.213863039845888e-05,7.308028144218025e-14,3408
70,0,0,1.169447138823396e-05,6.712417435751626e-14,3314
71,0,0,1.150517266084579e-05,6.908809975194273e-14,3210
72,0,0,1.108541263938794e-05,6.503636594112667e-14,3077
73,0,0,1.066852178003425e-05,6.091071240600428e-14,3007
74,0,0,1.04981236712401e-05,5.981892971109008e-14,2941
75,0,0,1.019354754093239e-05,5.914006642660307e-14,2835
76,0,0,9.925182166699128e-06,5.68699382522447e-14,2814
77,0,0,1.001808515490478e-05,5.944218670443037e-14,2763
78,0,0,9.587262341966698e-06,5.579846089464932e-14,2677
79,0,0,9.316173311339704e-06,5.634877391000942e-14,2534
80,0,0,8.96199346221709e-06,5.410003974901326e-14,2448
81,0,0,8.651211941729634e-06,5.434734484312585e-14,2315
82,0,0,8.02524767504992e-06,4.737115151309558e-14,2195
83,0,0,7.770068575171959e-06,4.887209128926145e-14,2140
84,0,0,7.76231657924895e-06,5.036737338163789e-14,2075
85,0,0,7.485566483838468e-06,4.781087905984236e-14,1963
86,0,0,7.084229501239156e-06,4.531039091046363e-14,1889
87,0,0,7.00807485471481e-06,4.646211272403046e-14,1853
88,0,0,6.794849614102662e-06,4.219052955198255e-14,1789
89,0,0,6.429583920146751e-06,4.144455487368963e-14,1654
90,0,0,6.02028057480675e-06,3.663812447506657e-14,1619
91,0,0,5.732074413837628e-06,3.707415026635145e-14,1517
92,0,0,5.339934998658968e-06,3.298394741732308e-14,1411
93,0,0,5.175956428698763e-06,3.371480058473931e-14,1332
94,0,0,4.849706635525985e-06,2.969559503082776e-14,1268
95,0,0,4.704373514225901e-06,3.030707279368075e-14,1200
96,0,0,4.536749106274314e-06,2.999351144231198e-14,1117
97,0,0,3.710059275711727e-06,2.129177018971265e-14,996
98,0,0,3.713955608520347e-06,2.540542765459103e-14,935
99,0,0,3.307167881027311e-06,2.097315788572094e-14,864
100,0,0,3.12947838619475e-06,2.05478013539226e-14,785
101,0,0,2.916205946696745e-06,1.862606974298963e-14,737
102,0,0,2.73376820533054e-06,1.817206144577612e-14,689
103,0,0,2.686138997080643e-06,1.9156655918232e-14,644
104,0,0,2.207992508125527e-06,1.355334471834955e-14,572
105,0,0,2.037017957355774e-06,1.44623703836035e-14,501
106,0,0,1.816578779667034e-06,1.356994441662517e-14,468
107,0,0,1.6484432662058e-06,1.01661063390045e-14,424
108,0,0,1.570235756683884e-06,1.085685937082127e-14,388
109,0,0,1.559102354501572e-06,1.204566429586926e-14,345
110,0,0,1.375205757053925e-06,1.038167040693313e-14,318
111,0,0,1.156011038854117e-06,8.223185288058857e-15,278
112,0,0,9.766197811210134e-07,7.329413411842606e-15,239
113,0,0,8.140759359985414e-07,5.653283998044409e-15,211
114,0,0,6.998142941967486e-07,4.093792282543571e-15,184
115,0,0,5.920943912909011e-07,3.623446352199806e-15,153
116,0,0,5.859908215088603e-07,4.111824516892554e-15,149
117,0,0,5.395032290954755e-07,4.350961597104342e-15,125
118,0,0,4.62073172987034e-07,3.623578533585098e-15,111
119,0,0,3.748484749404489e-07,2.874276455016086e-15,86
120,0,0,2.462914576011592e-07,1.347176036166933e-15,67
121,0,0,2.081762560044691e-07,1.420106081790437e-15,61
122,0,0,1.741061004250201e-07,1.154145160455686e-15,58
123,0,0,1.912190044335325e-07,1.301189420345967e-15,54
124,0,0,1.308161156553986e-07,6.33902163770053e-16,45
125,0,0,1.521659586447782e-07,1.001171213830269e-15,39
126,0,0,1.44589525904429e-07,9.620962062905744e-16,44
127,0,0,1.315587256610953e-07,1.042086824817762e-15,37
128,0,0,1.038593453032241e-07,5.827798838137495e-16,38
129,0,0,1.248099573705198e-07,8.767201139540507e-16,37
130,0,0,6.903933445155977e-08,4.406636936247509e-16,25
131,0,0,4.111836263104995e-08,1.280493317574818e-16,26
132,0,0,5.683555027049543e-08,2.76085559623072e-16,22
133,0,0,4.283457030360385e-08,1.850981020596614e-16,27
134,0,0,4.456325487653426e-08,2.100947967872279e-16,24
135,0,0,8.166262062837386e-08,7.889937779651966e-16,25
136,0,0,8.989652440018638e-08,6.666637937920448e-16,28
137,0,0,4.028113657618047e-08,2.409403938172476e-16,18
138,0,0,3.681526630714911e-08,2.711657305962065e-16,22
139,0,0,3.523568066144707e-08,2.587480331933241e-16,20
140,0,0,3.63175546461545e-08,1.729263478325565e-16,25
141,0,0,3.42384400818941e-08,1.180456097777039e-16,24
142,0,0,3.938437482362788e-08,1.243132476687882e-16,21
143,0,0,7.612174999009353e-08,4.617177222211594e-16,30
144,0,0,8.126559686664753e-08,3.53248501624927e-16,32
145,0,0,6.878945532305333e-08,3.447461206369273e-16,27
146,0,0,1.195046558034285e-07,1.287346670365459e-15,32
147,0,0,6.948494130315117e-08,5.478192825948152e-16,25
148,0,0,5.142878660687167e-08,2.682775418176104e-16,23
149,0,0,5.632876068876418e-08,2.67297462568079e-16,26
150,0,0,6.096544991247901e-08,3.055800551316037e-16,25
151,0,0,4.689799166746703e-08,1.376732703240495e-16,27
