# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.330029997031965e-05,5.290106259939738e-14,4662
1,0,0,1.339024194460975e-05,5.24338389855636e-14,4683
2,0,0,1.339362797400356e-05,5.260948750341741e-14,4705
3,0,0,1.376687553850577e-05,5.634726155209628e-14,4723
4,0,0,1.377389432098147e-05,5.658773514825289e-14,4734
5,0,0,1.362409248770815e-05,5.490422603954813e-14,4725
6,0,0,1.371008686549001e-05,5.519208388615903e-14,4749
7,0,0,1.39418490155413e-05,5.952659397433829e-14,4772
8,0,0,1.365491015724157e-05,5.509985799656002e-14,4727
9,0,0,1.365948376191003e-05,5.847204918478124e-14,4734
10,0,0,1.373945088091919e-05,5.897630587296468e-14,4725
11,0,0,1.383502453012421e-05,5.798503731372893e-14,4774
12,0,0,1.419334140979396e-05,6.187993213614994e-14,4808
13,0,0,1.426115605163861e-05,6.213261983052907e-14,4841
14,0,0,1.415812067397914e-05,5.847884515488383e-14,4844
15,0,0,1.453758566171293e-05,6.286467685703676e-14,4880
16,0,0,1.454068681403397e-05,6.434919688790367e-14,4921
17,0,0,1.471784955352944e-05,6.43911772020287e-14,4915
18,0,0,1.458457130796372e-05,6.376477998171532e-14,4903
19,0,0,1.481200501362405e-05,6.656264093529356e-14,4903
20,0,0,1.447562383074867e-05,6.266306686708727e-14,4889
21,0,0,1.474670659056283e-05,6.606375106233344e-14,4892
22,0,0,1.490853090282607e-05,7.06025017599962e-14,4884
23,0,0,1.450480476292801e-05,6.336458734614511e-14,4888
24,0,0,1.515067916989777e-05,7.131570422690443e-14,4935
25,0,0,1.511786106756498e-05,7.07111989930656e-14,4920
26,0,0,1.496354212053938e-05,6.738456357401524e-14,4873
27,0,0,1.51286252778651e-05,7.136676284388508e-14,4911
28,0,0,1.502305167898429e-05,6.871495633291497e-14,4908
29,0,0,1.51680894746972e-05,7.038048972924972e-14,4927
30,0,0,1.539445697991783e-05,7.420879756283442e-14,4921
31,0,0,1.521829869274417e-05,7.229880911751771e-14,4892
32,0,0,1.528013550448297e-05,7.513831491756049e-14,4873
33,0,0,1.521982988543012e-05,7.198810421282081e-14,4891
34,0,0,1.520132006336768e-05,7.238212339408602e-14,4857
35,0,0,1.535918590860408e-05,7.601900591131389e-14,4851
36,0,0,1.491195312575741e-05,6.995538340629479e-14,4819
37,0,0,1.539985043870766e-05,7.532643850414128e-14,4860
38,0,0,1.524221498174236e-05,7.413896642575199e-14,4875
39,0,0,1.535001494165789e-05,7.572121292619795e-14,4814
40,0,0,1.537788907940055e-05,7.541258653739471e-14,4838
41,0,0,1.549162739931929e-05,7.968422237062035e-14,4817
42,0,0,1.544147482999458e-05,7.939811649229334e-14,4776
43,0,0,1.521188935869747e-05,7.501569335752491e-14,4732
44,0,0,1.541592826705252e-05,7.976126892856284e-14,4781
45,0,0,1.523380344983813e-05,7.626851135024463e-14,4783
46,0,0,1.526050010237089e-05,7.713626533944544e-14,4722
47,0,0,1.543930064286507e-05,8.441868824530874e-14,4638
48,0,0,1.519549003617334e-05,7.73058529779116e-14,4651
49,0,0,1.535803467382253e-05,7.8971857976104e-14,4628
50,0,0,1.549533203491767e-05,8.452275924180374e-14,4580
51,0,0,1.516095746895596e-05,8.202027932787024e-14,4553
52,0,0,1.484424173085582e-05,7.834601166672466e-14,4419
53,0,0,1.49298955361425e-05,8.065529052574843e-14,4414
54,0,0,1.465708013474352e-05,7.826923643994948e-14,4384
55,0,0,1.46965929277801e-05,7.841135659435039e-14,4318
56,0,0,1.438741419694077e-05,7.847016846818907e-14,4264
57,0,0,1.406384350790848e-05,7.544335274425405e-14,4169
58,0,0,1.402608830951332e-05,7.910093351554004e-14,4098
59,0,0,1.419949316323258e-05,8.136085449249843e-14,4070
60,0,0,1.402133714718297e-05,7.977158858502041e-14,4042
61,0,0,1.355303130976299e-05,7.374417643666049e-14,3973
62,0,0,1.333604198300127e-05,7.245441901251599e-14,3897
63,0,0,1.336605556327695e-05,7.461586340346908e-14,3892
64,0,0,1.29895532623685e-05,7.188317419887049e-14,3751
65,0,0,1.293082354381995e-05,7.440620738757866e-14,3646
66,0,0,1.29069041457242e-05,7.411258667332968e-14,3647
67,0,0,1.257341154760506e-05,7.194720446427969e-14,3550
68,0,0,1.206362152977972e-05,6.950863207832359e-14,3460
69,0,0,1.177992334768721e-05,6.690522118181078e-14,3381
70,0,0,1.190317135047128e-05,7.02935836096636e-14,3343
71,0,0,1.178117245359137e-05,6.865157222889096e-14,3264
72,0,0,1.159612817248788e-05,7.22503974149795e-14,3145
73,0,0,1.104117175895406e-05,6.478704848706991e-14,3055
74,0,0,1.071246560593134e-05,6.269281286883004e-14,2976
75,0,0,1.030278635536619e-05,6.212705339543586e-14,2849
76,0,0,9.986806338514976e-06,6.072605483925735e-14,2695
77,0,0,9.783642326510055e-06,5.991633593229988e-14,2655
78,0,0,9.338110945478647e-06,5.420832354794918e-14,2595
79,0,0,9.258452909736292e-06,5.344121106405753e-14,2550
80,0,0,9.123054391295196e-06,5.545472279872229e-14,2458
81,0,0,8.898985735971545e-06,5.590831476345099e-14,2333
82,0,0,8.396244259243588e-06,4.983130090095447e-14,2283
83,0,0,8.157009897883743e-06,5.036086863627636e-14,2195
84,0,0,7.800671932025333e-06,4.881422105971095e-14,2085
85,0,0,7.697715271404983e-06,5.010422174885702e-14,1983
86,0,0,7.20791333938739e-06,4.401582151903934e-14,1936
87,0,0,6.970175838115131e-06,4.619675247218882e-14,1813
88,0,0,6.375882301391714e-06,4.034542568543305e-14,1681
89,0,0,5.793661925359492e-06,3.496091334245189e-14,1562
90,0,0,5.768521283005484e-06,3.622390282492104e-14,1515
91,0,0,5.588821989640433e-06,3.615300403412971e-14,1443
92,0,0,5.227359172350399e-06,3.423871161661199e-14,1369
93,0,0,5.101263007562485e-06,3.470057197081645e-14,1289
94,0,0,4.561658271376164e-06,2.812245129767936e-14,1227
95,0,0,4.608009506104421e-06,2.920383228955701e-14,1159
96,0,0,4.229189800621761e-06,2.882110135265515e-14,1064
97,0,0,3.688407426409868e-06,2.370840910695387e-14,952
98,0,0,3.496755598609342e-06,2.312548350774927e-14,896
99,0,0,3.324064458020885e-06,2.222959152097122e-14,837
100,0,0,3.144707071033138e-06,2.115787037927262e-14,786
101,0,0,2.781258617024076e-06,1.791280531748052e-14,699
102,0,0,2.563343970767885e-06,1.575282128997609e-14,661
103,0,0,2.241464505762191e-06,1.428362515286638e-14,578
104,0,0,2.05140931966834e-06,1.289291830786595e-14,536
105,0,0,1.857356311796823e-06,1.239873476335984e-14,469
106,0,0,1.781784192899469e-06,1.227166408377234e-14,443
107,0,0,1.656446178125523e-06,9.735615830457232e-15,420
108,0,0,1.54490885661188e-06,1.001545096514645e-14,393
109,0,0,1.372885267103215e-06,9.723781899156849e-15,337
110,0,0,1.187237440759181e-06,7.776826744905788e-15,301
111,0,0,1.060548579495887e-06,6.825308751462756e-15,268
112,0,0,1.069847881113998e-06,8.390430362193399e-15,250
113,0,0,7.79682911547444e-07,5.144916101785638e-15,204
114,0,0,7.514351434891638e-07,4.679521075060851e-15,184
115,0,0,7.081254115115721e-07,5.146807097728962e-15,177
116,0,0,5.536391839160377e-07,3.898994131888243e-15,127
117,0,0,5.000706552101597e-07,3.500605423057234e-15,127
118,0,0,4.259329841120257e-07,2.707237596463506e-15,104
119,0,0,4.143727677889149e-07,2.881933693231924e-15,100
120,0,0,2.86442158317129e-07,2.195709358563483e-15,72
121,0,0,2.261784238430193e-07,1.639265441346869e-15,51
122,0,0,1.616035392879057e-07,1.230873347298771e-15,47
123,0,0,7.121521596203792e-08,4.491006947813283e-16,28
124,0,0,9.661683111192014e-08,6.937176997793722e-16,34
125,0,0,6.784996885762129e-08,3.638760196767144e-16,26
126,0,0,8.836738034674382e-08,6.445926978077397e-16,25
127,0,0,7.61527056149002e-08,4.334683515849887e-16,32
128,0,0,5.171002251625968e-08,1.909329729891152e-16,24
129,0,0,7.433366051815724e-08,4.637974044058538e-16,26
130,0,0,7.054160873949534e-08,3.932188588046077e-16,32
131,0,0,7.15097976787542e-08,3.903728491696802e-16,28
132,0,0,4.236236535872384e-08,1.774260293466735e-16,25
133,0,0,6.798973207042017e-08,5.512713887220954e-16,18
134,0,0,5.623950411986918e-08,3.21572295786601e-16,28
135,0,0,5.520191295534648e-08,3.015847358466818e-16,21
136,0,0,3.968705577909507e-08,1.15992666987047e-16,28
137,0,0,4.032174747623873e-08,1.872269002827162e-16,27
138,0,0,3.053733811095353e-08,1.205295144898758e-16,16
139,0,0,2.636417434591706e-08,8.92773840686563e-17,17
