# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.359265945162876e-05,5.311546193976494e-14,4758
1,0,0,1.357654483240751e-05,5.170421452359367e-14,4794
2,0,0,1.360128203597475e-05,5.209240776001871e-14,4809
3,0,0,1.382998356486003e-05,5.623403662486047e-14,4820
4,0,0,1.40474306138358e-05,5.7629589626762e-14,4851
5,0,0,1.415988388953986e-05,5.966981659531986e-14,4860
6,0,0,1.383444574300783e-05,5.544938709367702e-14,4850
7,0,0,1.397804849859672e-05,5.758280573207963e-14,4791
8,0,0,1.398223690074039e-05,5.798879238584152e-14,4814
9,0,0,1.407918545613075e-05,5.915206562707942e-14,4794
10,0,0,1.401785525490821e-05,5.984948089005848e-14,4772
11,0,0,1.422375778969581e-05,6.332967231047822e-14,4812
12,0,0,1.405383600851426e-05,5.982639087125801e-14,4821
13,0,0,1.425301689513071e-05,6.254627931820235e-14,4834
14,0,0,1.437867021665468e-05,6.200787718974849e-14,4901
15,0,0,1.462651477359551e-05,6.353033229748496e-14,4944
16,0,0,1.484897571248203e-05,6.879322768399218e-14,4902
17,0,0,1.485222484750346e-05,6.652421146997025e-14,4952
18,0,0,1.461346030818142e-05,6.271897674941391e-14,4903
19,0,0,1.492550066527641e-05,6.95734261382247e-14,4957
20,0,0,1.497232510162538e-05,6.669653488867745e-14,5041
21,0,0,1.503688141275188e-05,6.780283048571462e-14,5027
22,0,0,1.516954633180255e-05,6.849269890983011e-14,5012
23,0,0,1.509538714849219e-05,6.745947109186149e-14,5011
24,0,0,1.499481788762977e-05,6.787119945558288e-14,4988
25,0,0,1.536656319148237e-05,7.084129565981822e-14,5012
26,0,0,1.557293071885406e-05,7.452506360384968e-14,5026
27,0,0,1.532547834412466e-05,7.214133779457136e-14,4974
28,0,0,1.504630721005145e-05,6.803685897512365e-14,4962
29,0,0,1.516197442142521e-05,7.084070573615714e-14,4911
30,0,0,1.510275101738908e-05,7.020824044126997e-14,4940
31,0,0,1.521549379768372e-05,7.07331655886786e-14,4941
32,0,0,1.526988537075685e-05,7.207441638934305e-14,4950
33,0,0,1.524891492147008e-05,7.220619348717911e-14,4889
34,0,0,1.536155120284595e-05,7.177709497125817e-14,4952
35,0,0,1.534787892241147e-05,7.267546687201687e-14,4941
36,0,0,1.568227343547866e-05,7.913471081229925e-14,4953
37,0,0,1.593861678128002e-05,7.935273919851464e-14,4969
38,0,0,1.575930181221369e-05,8.078212195114681e-14,4926
39,0,0,1.520569271359261e-05,7.343976653428593e-14,4827
40,0,0,1.540962171088371e-05,7.653297206328152e-14,4822
41,0,0,1.563380529443254e-05,8.080299772837367e-14,4783
42,0,0,1.539534370357626e-05,7.812445716244821e-14,4801
43,0,0,1.548886949932303e-05,7.926045421400977e-14,4770
44,0,0,1.523864819367578e-05,7.655399512375841e-14,4721
45,0,0,1.522037838959179e-05,7.675583807038844e-14,4656
46,0,0,1.519311082637131e-05,8.06720233567971e-14,4611
47,0,0,1.512809324974848e-05,7.773036185714072e-14,4608
48,0,0,1.490596511648795e-05,7.62914078483088e-14,4550
49,0,0,1.494376034472417e-05,7.776227193254546e-14,4528
50,0,0,1.49256213977895e-05,7.8207698728411e-14,4516
51,0,0,1.489044622454805e-05,7.851441982451709e-14,4459
52,0,0,1.485420477269592e-05,7.961921594492744e-14,4427
53,0,0,1.490474776576949e-05,8.098244800733618e-14,4381
54,0,0,1.458150838987413e-05,7.720517580834828e-14,4321
55,0,0,1.43864203798469e-05,7.973172829146675e-14,4286
56,0,0,1.424356991054029e-05,7.747202057899371e-14,4207
57,0,0,1.398924889780538e-05,7.557820092375967e-14,4136
58,0,0,1.413439325499455e-05,7.747196464150927e-14,4096
59,0,0,1.422443197436896e-05,8.243109131109396e-14,4053
60,0,0,1.36205366534073e-05,7.64553713277887e-14,3940
61,0,0,1.343001833875435e-05,7.609388762820693e-14,3862
62,0,0,1.317352468865429e-05,7.262459988425323e-14,3826
63,0,0,1.299923555678533e-05,7.554632897777179e-14,3687
64,0,0,1.28486236172972e-05,7.38051122918812e-14,3655
65,0,0,1.246876402994967e-05,7.153054916820781e-14,3575
66,0,0,1.192520020146862e-05,6.65853027501981e-14,3432
67,0,0,1.231458627204927e-05,7.157323207563845e-14,3416
68,0,0,1.207574106681432e-05,7.244050668944852e-14,3363
69,0,0,1.197016943819934e-05,7.001349300515181e-14,3314
70,0,0,1.176790428574342e-05,7.105486155734212e-14,3265
