# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,1.35767826141318e-05,7.382929938415228e-14,4668
1,0,0,1.381905021723943e-05,8.60163372297018e-14,4649
2,0,0,1.385854015357896e-05,9.835528411192959e-14,4649
3,0,0,1.400809147250017e-05,1.002029874603673e-13,4650
4,0,0,1.365851254075292e-05,8.383320357904965e-14,4649
5,0,0,1.408886704127255e-05,9.379654662970105e-14,4701
6,0,0,1.440809566905488e-05,1.00682292297817e-13,4696
7,0,0,1.40365578217099e-05,8.438051273820175e-14,4741
8,0,0,1.496640082408818e-05,1.153519971201648e-13,4790
9,0,0,1.453388037066875e-05,9.960047794106133e-14,4756
10,0,0,1.440446994051971e-05,9.161795059410446e-14,4768
11,0,0,1.420595254191622e-05,1.005121514988602e-13,4762
12,0,0,1.453086093866801e-05,1.065796160928501e-13,4735
13,0,0,1.449036358632517e-05,1.052839076490194e-13,4759
14,0,0,1.439721744726145e-05,1.014221465660451e-13,4750
15,0,0,1.467269432212221e-05,1.231141841267987e-13,4754
16,0,0,1.457403466482171e-05,1.077785822764494e-13,4752
17,0,0,1.479959665316939e-05,1.045816099021184e-13,4816
18,0,0,1.464573572549151e-05,9.471347882627268e-14,4820
19,0,0,1.505609387227027e-05,1.064051541378672e-13,4828
20,0,0,1.450941784650763e-05,9.667438414039634e-14,4798
21,0,0,1.473445826337749e-05,1.057298190153328e-13,4731
22,0,0,1.444028938662891e-05,1.046305004085837e-13,4660
23,0,0,1.427940812398082e-05,1.137537240966621e-13,4657
24,0,0,1.458535647947996e-05,1.205313599776838e-13,4699
25,0,0,1.452331542370188e-05,9.86065843250109e-14,4713
26,0,0,1.529407355486856e-05,1.281097720278052e-13,4754
27,0,0,1.518430105406973e-05,1.155515192307557e-13,4786
28,0,0,1.536323773310441e-05,1.203821510472323e-13,4797
29,0,0,1.542003083954522e-05,1.264796620135391e-13,4782
30,0,0,1.562813390421534e-05,1.274752596782269e-13,4780
31,0,0,1.517051717408303e-05,1.040600334014639e-13,4748
32,0,0,1.56234078481547e-05,1.279479714520914e-13,4709
33,0,0,1.50583568754682e-05,1.091855269621388e-13,4713
34,0,0,1.515735605926685e-05,1.126197571892312e-13,4709
35,0,0,1.599910191284979e-05,1.497440320949452e-13,4697
36,0,0,1.499521214175685e-05,9.008276213698803e-14,4699
37,0,0,1.557368384304724e-05,1.087667066766637e-13,4726
38,0,0,1.553617555044319e-05,1.213344196650307e-13,4788
39,0,0,1.475246122582417e-05,9.347686581940087e-14,4666
40,0,0,1.570124211215077e-05,1.371665654854881e-13,4642
41,0,0,1.574366809073273e-05,1.262077269402585e-13,4611
42,0,0,1.530206294361054e-05,1.200018137790299e-13,4557
43,0,0,1.507342065357238e-05,1.115013941216556e-13,4532
44,0,0,1.532535679980772e-05,1.21700968390878e-13,4550
45,0,0,1.540128775793161e-05,1.134900072071931e-13,4541
46,0,0,1.468606368530937e-05,9.30585908474524e-14,4482
47,0,0,1.577071143246303e-05,1.24518576220694e-13,4492
48,0,0,1.526137666190909e-05,1.302788022214786e-13,4404
49,0,0,1.516351727726988e-05,1.172225453217772e-13,4378
50,0,0,1.464118955358676e-05,1.056008763913208e-13,4292
51,0,0,1.524458301939308e-05,1.507278862432005e-13,4281
52,0,0,1.457098370126713e-05,1.070070738937472e-13,4260
53,0,0,1.503126326099101e-05,1.376259646502197e-13,4250
54,0,0,1.450567705318472e-05,9.963807640285167e-14,4255
55,0,0,1.491763329995176e-05,1.178456679326214e-13,4197
56,0,0,1.474208679346429e-05,1.304352946443124e-13,4129
57,0,0,1.456882273730041e-05,1.236441397909353e-13,4114
58,0,0,1.460618130401531e-05,1.250512345143435e-13,4016
59,0,0,1.393428504591137e-05,1.167024080269703e-13,3972
60,0,0,1.392249206583042e-05,1.113269420299423e-13,3916
61,0,0,1.40282912221852e-05,1.151539458540261e-13,3923
62,0,0,1.371218988974015e-05,1.11293311168196e-13,3818
63,0,0,1.358121164371227e-05,1.120468546053656e-13,3734
64,0,0,1.310830412871275e-05,1.088224526332325e-13,3649
65,0,0,1.310377705755743e-05,1.137699135249075e-13,3545
66,0,0,1.23955780445452e-05,9.499098298246825e-14,3418
67,0,0,1.240049692643402e-05,1.204220605026202e-13,3314
68,0,0,1.235650011189601e-05,1.130027179430177e-13,3280
69,0,0,1.18959885677914e-05,9.784217633130375e-14,3235
70,0,0,1.199780224343065e-05,1.008892782076413e-13,3188
71,0,0,1.15897481439078e-05,9.084106507224151e-14,3172
72,0,0,1.119571243196704e-05,8.032189468045164e-14,3072
73,0,0,1.111679420371367e-05,1.018966004019185e-13,2941
74,0,0,1.075887253845251e-05,9.175369600840482e-14,2877
75,0,0,1.044888087140142e-05,8.089790021873046e-14,2780
76,0,0,9.840091385990124e-06,7.127861751605e-14,2656
77,0,0,9.338669611705386e-06,7.23897203553504e-14,2611
78,0,0,9.69722805085059e-06,7.882915701809658e-14,2543
79,0,0,9.27613614403794e-06,6.922036890529173e-14,2460
80,0,0,9.37271550618413e-06,8.268970140713206e-14,2371
81,0,0,8.600305574575416e-06,6.630719322026057e-14,2304
82,0,0,8.787367767808109e-06,7.260797832471462e-14,2202
83,0,0,8.201745007907345e-06,6.643068738644687e-14,2098
84,0,0,7.295000083418098e-06,5.667861314187315e-14,1965
85,0,0,7.290767928041884e-06,6.500003319460637e-14,1857
86,0,0,6.543893410067301e-06,5.333941939222906e-14,1702
87,0,0,6.512196112019846e-06,5.38945735678908e-14,1650
88,0,0,6.268207249648524e-06,5.612812609828474e-14,1596
89,0,0,5.903913323211221e-06,4.921814704661488e-14,1552
90,0,0,5.738533263966595e-06,4.841876476748087e-14,1456
91,0,0,5.171497998917931e-06,4.017049309495326e-14,1402
92,0,0,5.36224214707404e-06,4.685655357626529e-14,1340
93,0,0,5.027478035010769e-06,5.293086851698041e-14,1238
94,0,0,4.366859681386303e-06,2.983614676511573e-14,1136
95,0,0,4.158540259095112e-06,3.225821122325067e-14,1044
96,0,0,3.916271991278278e-06,3.745149296160814e-14,986
97,0,0,3.537497945691475e-06,2.643549934674308e-14,901
98,0,0,3.41513765026454e-06,2.771327249107408e-14,849
99,0,0,3.004794630015077e-06,2.205679730031751e-14,775
100,0,0,2.901853195310325e-06,2.782528160748202e-14,698
101,0,0,2.741861568692659e-06,2.776854087605544e-14,632
102,0,0,2.352547064326515e-06,1.922980327052278e-14,594
103,0,0,2.094146788507981e-06,1.445328408516283e-14,545
104,0,0,2.151283123015851e-06,1.601450037799862e-14,518
105,0,0,1.832240666047359e-06,1.276166948165002e-14,470
106,0,0,1.650586950141836e-06,1.454198744568578e-14,398
107,0,0,1.409840882009356e-06,9.365461376392068e-15,357
108,0,0,1.248706188007417e-06,8.958368284910608e-15,327
109,0,0,1.165605783689074e-06,9.17292490768287e-15,303
110,0,0,1.123647505521593e-06,9.904811951740202e-15,275
111,0,0,9.371662207722606e-07,6.512541879607727e-15,234
112,0,0,9.009402133613732e-07,7.452938833592952e-15,214
113,0,0,7.714684889418718e-07,5.729581318843824e-15,182
114,0,0,5.604025781840455e-07,4.343599648896705e-15,154
115,0,0,5.27468021958119e-07,3.687215026487826e-15,133
116,0,0,4.99892178817996e-07,4.108080882152618e-15,121
117,0,0,2.851791432462436e-07,1.464544185970722e-15,90
118,0,0,2.942350785640093e-07,2.039997644558817e-15,81
119,0,0,2.585521481078798e-07,1.595418777185969e-15,68
120,0,0,1.840691164647616e-07,1.121741486105412e-15,61
121,0,0,1.676129951091743e-07,1.44886430918148e-15,55
122,0,0,1.33292002949888e-07,8.69259646586217e-16,41
123,0,0,9.744974798178523e-08,4.773848927981075e-16,43
124,0,0,1.096072884562092e-07,8.116167948085132e-16,34
125,0,0,9.986769758592896e-08,6.26195850623326e-16,36
126,0,0,9.133074534539136e-08,7.390426171881605e-16,31
127,0,0,6.486254167225803e-08,3.284477206061249e-16,30
128,0,0,8.684599735801889e-08,6.695720721676791e-16,26
129,0,0,4.518914706799987e-08,2.091861068432024e-16,28
130,0,0,6.369618111985914e-08,4.515781975952198e-16,23
131,0,0,4.941143243320099e-08,2.818667102392546e-16,26
132,0,0,4.464839826173775e-08,1.556147080493422e-16,24
133,0,0,3.64201503976224e-08,1.222979457797239e-16,22
134,0,0,5.342049527726559e-08,2.452309306254687e-16,30
135,0,0,3.521649986952947e-08,1.609581072832363e-16,26
136,0,0,4.639474550596563e-08,3.462304604017475e-16,19
137,0,0,2.489594331484133e-08,1.179779573310117e-16,12
138,0,0,3.434204652156688e-08,1.767168095285438e-16,20
139,0,0,2.275918186308602e-08,8.405325958671624e-17,13
140,0,0,3.68980955046208e-08,1.449278983634003e-16,21
141,0,0,4.359098090061341e-08,4.776424626482295e-16,17
142,0,0,4.929195678225708e-08,2.46090296740952e-16,22
143,0,0,2.513707036962321e-08,7.674374252851611e-17,18
144,0,0,3.591250228893828e-08,1.522196095905279e-16,18
145,0,0,6.641455700178148e-08,3.81484665554574e-16,32
146,0,0,4.412619143168928e-08,2.641075445593104e-16,18
147,0,0,3.590519280393118e-08,1.000503174163223e-16,23
148,0,0,3.704029551529106e-08,1.540944741713344e-16,23
149,0,0,5.65941577098178e-08,3.649274996817552e-16,23
150,0,0,3.78987675002733e-08,3.020958070303296e-16,13
151,0,0,5.930809614709376e-08,4.068999548513678e-16,26
152,0,0,5.491649567670332e-08,4.220797853027784e-16,20
153,0,0,3.445269075487199e-08,1.215125362975434e-16,21
154,0,0,5.955691242619353e-08,2.990615690380717e-16,26
155,0,0,3.463212452733414e-08,2.070776089270913e-16,16
156,0,0,4.841071378802829e-08,3.548070435933243e-16,13
157,0,0,1.674254828601502e-08,8.20277172171813e-17,8
158,0,0,1.643036700726565e-08,3.816374237823521e-17,12
159,0,0,2.995009079627226e-08,1.630962064279219e-16,12
160,0,0,5.472474789250099e-08,2.902418221518686e-16,18
161,0,0,3.543966269747601e-08,1.055136631608103e-16,21
162,0,0,5.676573640096702e-08,3.077414973254961e-16,23
163,0,0,6.833198377134064e-08,3.569679379037717e-16,26
164,0,0,5.165623318114988e-08,3.205454673102572e-16,20
165,0,0,3.30102176593769e-08,1.638345937599021e-16,17
166,0,0,3.43426338000466e-08,1.69395282341579e-16,19
167,0,0,5.00077606750903e-08,2.274828448222242e-16,20
168,0,0,4.350046220506214e-08,2.678072284225765e-16,22
169,0,0,2.126793912797961e-08,3.873318931909215e-17,19
170,0,0,7.91015728586013e-08,1.413381931404274e-15,16
171,0,0,5.324588305393947e-08,2.203192988963528e-16,21
172,0,0,2.818628711501092e-08,1.034958772827595e-16,19
173,0,0,3.638063417365313e-08,8.590155186566437e-17,26
174,0,0,3.035730477903761e-08,9.129524041421258e-17,18
175,0,0,8.596293395267067e-08,1.158065835568447e-15,19
176,0,0,6.201509467305042e-08,4.615723957036912e-16,25
177,0,0,5.307483652134338e-08,3.535681798888938e-16,20
178,0,0,5.589627590425513e-08,2.839510595030451e-16,24
179,0,0,9.511473081062195e-08,4.595400920112443e-15,15
180,0,0,2.454635283972584e-08,7.851692802781424e-17,12
181,0,0,3.883829664899113e-08,2.306012498762021e-16,14
182,0,0,2.933772042881971e-08,1.286235152587379e-16,19
183,0,0,3.881351788150057e-08,2.126223229479777e-16,16
184,0,0,5.145494084020826e-08,7.867296226685773e-16,16
185,0,0,4.287253265362336e-08,2.669949727889314e-16,17
186,0,0,5.808556482371636e-08,4.068599101152178e-16,20
187,0,0,4.292634923965783e-08,3.914688839165267e-16,14
188,0,0,1.725572337439288e-08,1.208741367209974e-16,7
189,0,0,2.860645180072151e-08,1.3662191053219e-16,12
190,0,0,6.385170184913399e-08,5.251857495567218e-16,19
191,0,0,3.415420302196056e-08,1.652933436718424e-16,18
192,0,0,3.521109693083436e-08,1.349531281779423e-16,20
193,0,0,3.081211627156366e-08,1.455273584078344e-16,20
194,0,0,4.909595041172328e-08,2.416647072725507e-16,19
195,0,0,4.097509202360158e-08,2.464700376458188e-16,14
196,0,0,3.67269211030138e-08,1.214823375721237e-16,22
197,0,0,3.329117835148231e-08,1.594236997632036e-16,13
198,0,0,6.065088659809752e-08,5.363901067876107e-16,22
199,0,0,6.062652421629232e-08,4.411870925865759e-16,18
