event ID: 1738	scintillation events:267	Cerenkov events: 6
event ID: 4826	scintillation events:316	Cerenkov events: 0
event ID: 20295	scintillation events:150	Cerenkov events: 4
event ID: 24882	scintillation events:1850	Cerenkov events: 44
event ID: 48997	scintillation events:379	Cerenkov events: 10
event ID: 49015	scintillation events:89	Cerenkov events: 0
event ID: 59731	scintillation events:55	Cerenkov events: 0
event ID: 72284	scintillation events:2424	Cerenkov events: 57
event ID: 84522	scintillation events:2738	Cerenkov events: 76
event ID: 84587	scintillation events:1005	Cerenkov events: 33
event ID: 89262	scintillation events:3210	Cerenkov events: 76
event ID: 132994	scintillation events:1443	Cerenkov events: 41
event ID: 145185	scintillation events:2050	Cerenkov events: 54
event ID: 181165	scintillation events:599	Cerenkov events: 13
event ID: 185931	scintillation events:5721	Cerenkov events: 106
event ID: 188828	scintillation events:2817	Cerenkov events: 72
event ID: 193441	scintillation events:169	Cerenkov events: 0
