event ID: 11608	scintillation events:2088	Cerenkov events: 30	Bremstralung events: 1	Fluo Events: 1
event ID: 30056	scintillation events:2827	Cerenkov events: 63	Bremstralung events: 2	Fluo Events: 2
event ID: 51579	scintillation events:918	Cerenkov events: 32	Bremstralung events: 3	Fluo Events: 2
event ID: 78745	scintillation events:165	Cerenkov events: 0	Bremstralung events: 3	Fluo Events: 2
event ID: 82475	scintillation events:1704	Cerenkov events: 57	Bremstralung events: 3	Fluo Events: 3
event ID: 91341	scintillation events:79	Cerenkov events: 0	Bremstralung events: 3	Fluo Events: 3
event ID: 142386	scintillation events:43	Cerenkov events: 0	Bremstralung events: 3	Fluo Events: 3
event ID: 144876	scintillation events:2211	Cerenkov events: 60	Bremstralung events: 4	Fluo Events: 6
event ID: 153573	scintillation events:1119	Cerenkov events: 30	Bremstralung events: 4	Fluo Events: 6
event ID: 163577	scintillation events:2599	Cerenkov events: 66	Bremstralung events: 4	Fluo Events: 7
event ID: 167593	scintillation events:698	Cerenkov events: 29	Bremstralung events: 4	Fluo Events: 7
event ID: 181836	scintillation events:97	Cerenkov events: 0	Bremstralung events: 4	Fluo Events: 7
event ID: 188737	scintillation events:3930	Cerenkov events: 84	Bremstralung events: 4	Fluo Events: 10
event ID: 234629	scintillation events:4658	Cerenkov events: 85	Bremstralung events: 4	Fluo Events: 12
event ID: 243946	scintillation events:3806	Cerenkov events: 115	Bremstralung events: 4	Fluo Events: 15
event ID: 260575	scintillation events:1401	Cerenkov events: 43	Bremstralung events: 5	Fluo Events: 16
event ID: 267990	scintillation events:55	Cerenkov events: 0	Bremstralung events: 5	Fluo Events: 16
event ID: 286160	scintillation events:1332	Cerenkov events: 55	Bremstralung events: 5	Fluo Events: 17
event ID: 286180	scintillation events:877	Cerenkov events: 26	Bremstralung events: 6	Fluo Events: 17
event ID: 289385	scintillation events:1646	Cerenkov events: 44	Bremstralung events: 6	Fluo Events: 17
event ID: 307585	scintillation events:542	Cerenkov events: 19	Bremstralung events: 6	Fluo Events: 17
event ID: 352138	scintillation events:3938	Cerenkov events: 114	Bremstralung events: 7	Fluo Events: 19
event ID: 358043	scintillation events:2202	Cerenkov events: 60	Bremstralung events: 10	Fluo Events: 19
event ID: 367355	scintillation events:2292	Cerenkov events: 55	Bremstralung events: 11	Fluo Events: 19
event ID: 377506	scintillation events:602	Cerenkov events: 1	Bremstralung events: 11	Fluo Events: 19
event ID: 380614	scintillation events:156	Cerenkov events: 0	Bremstralung events: 11	Fluo Events: 19
event ID: 384464	scintillation events:529	Cerenkov events: 7	Bremstralung events: 11	Fluo Events: 19
event ID: 390631	scintillation events:3559	Cerenkov events: 82	Bremstralung events: 13	Fluo Events: 22
event ID: 394748	scintillation events:1491	Cerenkov events: 28	Bremstralung events: 13	Fluo Events: 24
event ID: 397610	scintillation events:10253	Cerenkov events: 259	Bremstralung events: 18	Fluo Events: 28
